xai,participant,n_rows,n_participants,mean_boundary,median_boundary,mean_orig_boundary,mean_improvement,success_rate,mean_proximity,mean_sparsity,mean_n_features_changed,move_toward_target_rate,mean_helpful_shap,Glucose_change_prevalence,Glucose_mean_abs_change,Glucose_mean_signed_change,Blood Pressure_change_prevalence,Blood Pressure_mean_abs_change,Blood Pressure_mean_signed_change,Insulin_change_prevalence,Insulin_mean_abs_change,Insulin_mean_signed_change,BMI_change_prevalence,BMI_mean_abs_change,BMI_mean_signed_change,Age_change_prevalence,Age_mean_abs_change,Age_mean_signed_change,reasoning_strategy,within_condition_boundary_rank
counterfactual,R_5tEkygPCjFKzz2T,20,1,0.08392337314615501,0.07449464533565,0.12287754559834001,0.03895417245218501,0.6,0.38576148970871504,0.49000000000000005,2.55,0.9,0.6275068966106637,0.55,0.09649719435476499,-0.036133310661414994,0.5,0.081521739130435,0.033695652173935,0.6,0.050111358574655006,-0.030314278643945,0.75,0.13871227873004002,0.02163191907847,0.15,0.0189189189189,0.0189189189189,,3.0
counterfactual,R_5faag2PFpaGyI6V,20,1,0.08535400085185998,0.04413103499775,0.12287754559834001,0.037523544746479995,0.4,0.6542550072483,0.3100000000000001,3.45,0.85,0.40859428591109764,0.95,0.33837782690023005,0.15048461146062,0.85,0.09565217391306,-0.0043478260869700015,0.8,0.062381423739959994,0.03536665841784,0.7,0.13487060972186002,0.09476159033440998,0.15,0.022972972972960002,-0.01756756756755,,4.0
counterfactual,R_7dLdPi0fchuvKbu,20,1,0.091574369155971,0.08781461389209999,0.12287754559834,0.031303176442369005,0.5,0.3824691159337,0.5799999999999998,2.1,0.9,0.4804943906302297,0.3,0.07099132800545001,-0.009777248767249998,0.65,0.11521739130431,-0.05434782608690001,0.6,0.10249113255793,0.08619978553165,0.45,0.07079629109298,-0.01505507164932,0.1,0.02297297297295,-0.0013513513513499996,,5.0
counterfactual,R_1ihbKBZG0EAXF8D,20,1,0.0922853252636035,0.079905040173,0.12287754559834001,0.0305922203347365,0.55,0.47910472836859996,0.5899999999999999,2.05,0.95,0.6116930841425201,0.55,0.15303519809553,0.007651759904770003,0.3,0.06847826086955,-0.018478260869549998,0.55,0.10125381506232001,0.06660892518355001,0.65,0.15633745434115,0.011905310480550001,0.0,0.0,0.0,,6.0
counterfactual,R_6ltB5PoMoQ8gakx,20,1,0.09259802195872499,0.0921552163408,0.12287754559834001,0.03027952363961501,0.55,0.63273921224671,0.4800000000000001,2.6,0.9,0.5128130965664821,0.8,0.22912769937093,0.07099132800547,0.35,0.06413043478256,0.029347826086959995,0.9,0.22807885836845299,0.15755176111534702,0.55,0.111402219724725,0.059805984827234995,0.0,0.0,0.0,,7.0
counterfactual,R_3CPW0AmZIfESbrT,20,1,0.0940785966590575,0.07010694081935,0.12287754559834001,0.028798948939282497,0.4,0.5152088544352,0.6199999999999999,1.9,0.65,0.3654880810371758,0.05,0.011902737629649999,0.011902737629649999,0.65,0.1423913043478,-0.0380434782609,0.5,0.21477769528999996,0.21477769528999996,0.7,0.146137117167745,0.051988198932355,0.0,0.0,0.0,,8.0
counterfactual,R_7MBioYOD8gq6nT3,20,1,0.09565111355088,0.05402833136905,0.12287754559834001,0.027226432047459993,0.2,0.20016968766148452,0.7700000000000001,1.15,0.65,0.23362419229454806,0.05,0.021679986396850003,-0.021679986396850003,0.2,0.04673913043475,-0.04673913043475,0.1,0.008042563721845,-0.008042563721845,0.75,0.11695125035118951,-0.11695125035118951,0.05,0.00675675675675,-0.00675675675675,,9.0
counterfactual,R_6dXBSsEnSWPHZg1,20,1,0.10073780189984549,0.053669652082900005,0.12287754559834,0.02213974369849451,0.4,0.317722421976915,0.71,1.45,0.7,0.4037027976157176,0.7,0.19086889984699,-0.08459445672501,0.25,0.05217391304345,-0.05217391304345,0.4,0.05681349500949999,0.0312422667656,0.1,0.017866114077,-0.007866114076999999,0.0,0.0,0.0,,10.0
none,R_6dM4kpwwdD2TmDK,20,1,0.062011980345791105,0.047834272053149995,0.12287754559834003,0.060865565252548916,0.55,0.4417557909479849,0.5,2.5,0.9,0.5402932159312721,0.65,0.16026186022787997,-0.09479680326477999,0.3,0.061956521739105,-0.038043478260805,0.7,0.074857708488,0.04949269982677,0.7,0.129814835628005,0.074246698510875,0.15,0.014864864864854999,-0.014864864864854999,,1.0
none,R_6upJU84Jtf3Faf5,20,1,0.07144395262029499,0.07111069721155,0.12287754559834001,0.05143359297804499,0.4,0.406395875039365,0.6299999999999999,1.85,0.9,0.4882732293067672,0.45,0.09012072776744999,-0.025505866349350002,0.15,0.032608695652165,-0.026086956521735,0.35,0.06434050977485,0.06434050977485,0.35,0.08689350941275,-0.005152289969049997,0.55,0.132432432432305,5.00155472593633e-15,,2.0
none,R_1Fh1UMJw1me9wFr,20,1,0.07778198983411069,0.054773843276,0.12287754559834001,0.04509555576422929,0.75,0.5558097662434001,0.5000000000000001,2.5,0.95,0.6525383440290002,0.55,0.17216459785750002,0.019979595306899987,0.6,0.115217391304355,-0.045652173913055004,0.75,0.13600181473227496,0.09578899612302501,0.6,0.13242596234898,-0.035226187131179997,0.0,0.0,0.0,,3.0
none,R_6R9HRjc1dD88yPW,20,1,0.08026373791562444,0.0607740348144,0.12287754559834003,0.042613807682715554,0.3,0.15782434789614502,0.8000000000000002,1.0,0.85,0.23313404004989166,0.7,0.11435130079919001,0.06759054582555998,0.05,0.00978260869565,-0.00978260869565,0.0,0.0,0.0,0.05,0.009366114077,-0.009366114077,0.2,0.024324324324305,-0.024324324324305,,4.0
none,R_1bN1m4OYZIanJ5K,20,1,0.08665006946398249,0.0895406823073,0.12287754559834001,0.03622747613435749,0.6,0.3274691878822,0.6900000000000002,1.55,0.9,0.5953599125330746,0.05,0.0131780309471,0.0131780309471,0.7,0.15326086956517998,-0.06413043478257999,0.4,0.047018064835429994,0.005774148313169999,0.4,0.11401222253445001,0.06635276763145001,0.0,0.0,0.0,,5.0
none,R_5CNiW73tAkn7Lk5,20,1,0.097185636249534,0.081131529548,0.12287754559834001,0.025691909348806004,0.65,0.54363926934395,0.62,1.9,1.0,0.6777975563403447,0.45,0.15261010032310002,0.003825879952400001,0.05,0.01304347826085,-0.01304347826085,0.7,0.17239957106322001,0.12208199290607999,0.7,0.205586119696575,-0.008202023040125003,0.0,0.0,0.0,,6.0
none,R_1KMTwE2iCLDGMxz,20,1,0.09768065141497499,0.0762299100097,0.12287754559834001,0.025196894183364998,0.3,0.2773972183542,0.8000000000000002,1.0,0.65,0.4551255906460714,0.35,0.08034347900019999,-0.035283115116499994,0.05,0.00978260869565,-0.00978260869565,0.15,0.0465025158789,0.0465025158789,0.45,0.14076861477945,0.05627915144705,0.0,0.0,0.0,,7.0
none,R_7ojrp9raD1YDwJj,20,1,0.10093423527958849,0.08313749710345,0.12287754559834001,0.0219433103187515,0.4,0.32977259027565,0.7100000000000001,1.45,0.65,0.36370832341290155,0.45,0.12922972283625,-0.12922972283625,0.7,0.14673913043471498,-0.14673913043471498,0.0,0.0,0.0,0.3,0.053803737004749996,-0.053803737004749996,0.0,0.0,0.0,,8.0
none,R_5gkJQXcSCkjRBmu,20,1,0.10244165003285502,0.07900267696669999,0.12287754559834001,0.020435895565485,0.75,0.7411908240669001,0.56,2.2,0.9,0.7035394981874015,0.6,0.23167828600574997,0.04208467947625001,0.25,0.10869565217389998,-0.0478260869565,0.5,0.12692815309745,0.10898704941024999,0.85,0.27388873279014997,-0.02676341669005,0.0,0.0,0.0,,9.0
none,R_7arfHhy57BRFG9z,20,1,0.11180026149061251,0.103640388022,0.12287754559834,0.011077284107727504,0.3,0.23765903428274998,0.8000000000000002,1.0,0.6,0.2377247459060937,0.2,0.062489372555699994,-0.062489372555699994,0.6,0.1336956521738,-0.1336956521738,0.0,0.0,0.0,0.2,0.04147400955325,-0.04147400955325,0.0,0.0,0.0,,10.0
