participant,domain,xai,first training block,phase,original label,target label,trial number,instance id,training response,training correct (0/1),participant training accuracy,response time (seconds),log(time),participant median time,attribute values before and after,explanation,sparsity,dist user CF from orig,user CF label,successful CF,distance to closest minimal counterfactual,confidence for target label original,confidence for target label user CF,delta confidence of target label,user CF increase target label confidence?,x_1_train_change,x_2_train_change,x_3_train_change,x_4_train_change,x_5_train_change,attribute changed,amount changed,delta confidence/change amount,confidence of counterfactual - 50%,close to boundary old,distance to boundary,CRT-2 score (0-4),successful counterfactual (continuous),actionability (0/1),patient can change - Blood Pressure,patient can change - Insulin,patient can change - BMI,patient can change - Age,plausibility,abs dist original to boundary,abs dist user CF to boundary,sign dist user CF to boundary,boundary dist change (user - original),plausibility (subset),participant level correct direction change,% x4_changed > 50,cognitive model v0.1 family,explanation reliance (η),global relevance reliance (α),additive change margin (ρ),exemplar locality (λ),remembered-change reliance (β),age treated as actionable (0/1),mean participant CF dist to orig,Norm(proximity),changed in training cf direction,dist to nearest training instance (L1 normalized),cognitive model v0.2 revision,cognitive model v0.2 family,cognitive model v0.2 representation,cognitive model v0.2 scope,cognitive model v0.2 global feature lapse,cognitive model v0.2 memory decay,cognitive model v0.2 exemplar distance sensitivity,cognitive model v0.2 selection spread,cognitive model v0.2 counterfactual edit blend,cognitive model v0.2 age actionable (0/1),cognitive model v0.2 edit margin,cognitive model v0.2 CV subset NLL,cognitive model v0.2 CV expected selection F1,cognitive model v0.2 CV MAP selection F1,cognitive model v0.2 CV exact-subset accuracy,cognitive model v0.2 CV cardinality MAE,cognitive model v0.2 CV conditional amount MAE,cognitive model v0.2 CV conditional direction accuracy,case,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,training,No Diabetes,,11,130110,Diabetes,0,0.583333333333,18.343,2.90924803033,16.4065,"""Glucose"" - 128(0.45519469478)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 182(0.301080590613)
""BMI"" - 43.3(0.804298960382)
""Age"" - 31(0.27027027027)",,,,,,,,,,,0,0.152173913043,0.164975666089,0,0,,,,,,,0,,,8,7,10,1,,,,,,,0.9,0,,,,,,,,0.245185006256,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,training,No Diabetes,,12,130111,Diabetes,0,0.583333333333,13.594,2.60962851892,16.4065,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 171(0.278396436526)
""BMI"" - 34.2(0.48468670975)
""Age"" - 33(0.324324324324)",,,,,,,,,,,0,0.152173913043,0.154664686959,0,0,,,,,,,0,,,8,7,10,1,,,,,,,0.9,0,,,,,,,,0.245185006256,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,1,130200,,,0.583333333333,6.155,1.81726475964,16.4065,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 78(0.652173913043) -> 67(0.413043478261)
""Insulin"" - 100(0.131980532871)
""BMI"" - 30.9(0.368783366114)
""Age"" - 45(0.648648648649)",,0.8,0.239130434783,Diabetes,0,0.390413800897,0.411767516955,0.412685031375,0.000917514419063,1,,,,,,Blood Pressure,-0.239130434783,0.00383687847971,0.087314968625,0,far from boundary,0,0,1,8,7,10,1,0.921808568814,0.118676458828,0.169686834638,-0.169686834638,0.05101037581,0.921484429998,0.9,0,,,,,,,,0.245185006256,0.249302073671,1,0.414316980442,,,,,,,,,,,,,,,,,,,1,0,-0.239130434783,0,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,2,130201,,,0.583333333333,19.057,2.94743448815,16.4065,"""Glucose"" - 149(0.633735759225)
""Blood Pressure"" - 68(0.434782608696) -> 62(0.304347826087)
""Insulin"" - 127(0.187659820177)
""BMI"" - 29.3(0.312587805563)
""Age"" - 42(0.567567567568)",,0.8,0.130434782609,Diabetes,0,0.230522588172,0.483539690781,0.47032275844,-0.0132169323409,0,,,,,,Blood Pressure,-0.130434782609,-0.101329814613,0.02967724156,1,near boundary,0,0,1,8,7,10,1,0.940313115014,0.0323992776757,0.0627733455214,-0.0627733455214,0.0303740678457,0.906531427351,0.9,0,,,,,,,,0.245185006256,0.127672467979,1,0.336908080638,,,,,,,,,,,,,,,,,,,2,0,-0.130434782609,0,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,3,130202,,,0.583333333333,5.754,1.74989526513,16.4065,"""Glucose"" - 144(0.591225981976)
""Blood Pressure"" - 72(0.521739130435) -> 68(0.434782608696)
""Insulin"" - 228(0.395941598614)
""BMI"" - 33.9(0.474150042147)
""Age"" - 40(0.513513513514)",,0.8,0.0869565217391,Diabetes,0,0.198606563886,0.4679117222,0.470389656155,0.00247793395499,1,,,,,,Blood Pressure,-0.0869565217391,0.0284962404824,0.029610343845,0,far from boundary,0,0,1,8,7,10,1,0.982608695652,0.0764467974998,0.0708197152621,-0.0708197152621,-0.00562708223775,0.894709730742,0.9,0,,,,,,,,0.245185006256,0.0790206257018,1,0.467762395737,,,,,,,,,,,,,,,,,,,3,0,-0.0869565217391,0,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,4,130203,,,0.583333333333,11.557,2.44729131399,16.4065,"""Glucose"" - 158(0.710253358272)
""Blood Pressure"" - 84(0.782608695652) -> 69(0.45652173913)
""Insulin"" - 210(0.358822073744)
""BMI"" - 39.4(0.66732228154)
""Age"" - 29(0.216216216216)",,0.8,0.326086956522,Diabetes,0,0.435909238061,0.463741061238,0.472538054045,0.00879699280666,1,,,,,,Blood Pressure,-0.326086956522,0.0269774446071,0.027461945955,0,far from boundary,0,0,1,8,7,10,1,0.934782608695,0.0867721396761,0.0656705812809,-0.0656705812809,-0.0211015583953,0.894933769666,0.9,0,,,,,,,,0.245185006256,0.346605758224,1,0.547070282104,,,,,,,,,,,,,,,,,,,4,0,-0.326086956522,0,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,5,130204,,,0.583333333333,9.993,2.30188484788,16.4065,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 74(0.565217391304) -> 67(0.413043478261)
""Insulin"" - 193(0.3237647447)
""BMI"" - 29.3(0.312587805563)
""Age"" - 39(0.486486486486)",,0.8,0.152173913043,No Diabetes,1,0.252261718607,0.492607340351,0.503013713789,0.010406373438,1,,,,,,Blood Pressure,-0.152173913043,0.0683847397356,0.003013713789,1,near boundary,0,1,1,8,7,10,1,0.969565217391,0.0165789274235,0.00719967264248,0.00719967264248,-0.00937925478103,0.925767744547,0.9,0,,,,,,,,0.245185006256,0.151998389116,1,0.305943885962,,,,,,,,,,,,,,,,,,,5,0,-0.152173913043,0,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,6,130205,,,0.583333333333,8.768,2.17110873021,16.4065,"""Glucose"" - 181(0.905798333617)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 293(0.529984327312)
""BMI"" - 40(0.688395616746) -> 33(0.442540039337)
""Age"" - 22(0.027027027027)",,0.8,0.245855577409,No Diabetes,1,0.0799599606631,0.44484721091,0.526887915605,0.0820407046945,1,,,,,,BMI,-0.245855577409,0.333694706295,0.026887915605,0,far from boundary,0,1,1,8,7,10,1,0.911553371162,0.132294051113,0.0642952049357,0.0642952049357,-0.0679988461777,0.890131617298,0.9,0,,,,,,,,0.245185006256,0.256827456972,1,0.722733439714,,,,,,,,,,,,,,,,,,,6,0,0,0,-0.245855577409,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,7,130206,,,0.583333333333,35.532,3.57043369891,16.4065,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 82(0.739130434783) -> 67(0.413043478261)
""Insulin"" - 272(0.486678214963)
""BMI"" - 41.5(0.741078954763)
""Age"" - 27(0.162162162162)",,0.8,0.326086956522,Diabetes,0,0.427165911284,0.477129570752,0.485950389944,0.00882081919206,1,,,,,,Blood Pressure,-0.326086956522,0.027050512189,0.014049610056,0,far from boundary,0,0,1,8,7,10,1,0.935836091478,0.054673871648,0.0335723132535,-0.0335723132535,-0.0211015583945,0.86458394963,0.9,0,,,,,,,,0.245185006256,0.346605758224,1,0.58746777733,,,,,,,,,,,,,,,,,,,7,0,-0.326086956522,0,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,8,130207,,,0.583333333333,15.79,2.75937682827,16.4065,"""Glucose"" - 157(0.701751402823)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 440(0.833127113751) -> 327(0.6000989854)
""BMI"" - 39.4(0.66732228154)
""Age"" - 30(0.243243243243)",,0.8,0.233028128351,Diabetes,0,0.405350409891,0.4427041147,0.452499720083,0.0097956053823,1,,,,,,Insulin,-0.233028128351,0.0420361501061,0.047500279917,0,far from boundary,0,0,1,8,7,10,1,0.937363154673,0.137479314236,0.113817734217,-0.113817734217,-0.0236615800197,0.89018246284,0.9,0,,,,,,,,0.245185006256,0.24247363932,1,0.532055537055,,,,,,,,,,,,,,,,,,,8,0,0,-0.233028128351,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,9,130208,,,0.583333333333,10.006,2.30318491307,16.4065,"""Glucose"" - 111(0.310661452134)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 207(0.352635486266)
""BMI"" - 37.1(0.586541163248) -> 32.64296(0.43)
""Age"" - 56(0.945945945946)",,0.8,0.156541163248,Diabetes,0,0.0975,0.378484007523,0.436041952287,0.0575579447639,1,,,,,,BMI,-0.156541163248,0.367685684517,0.063958047713,0,far from boundary,0,0,1,8,7,10,1,0.96869176735,0.187566199816,0.0725221066864,-0.0725221066864,-0.115044093129,0.834597090216,0.9,0,,,,,,,,0.245185006256,0.156885308784,1,0.733491424334,,,,,,,,,,,,,,,,,,,9,0,0,0,-0.156541163248,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,Diabetes,No Diabetes,10,130209,,,0.583333333333,14.339,2.66298309773,16.4065,"""Glucose"" - 122(0.404182962081)
""Blood Pressure"" - 90(0.913043478261)
""Insulin"" - 220(0.379444032005)
""BMI"" - 49.7(1) -> 38.05264(0.62)
""Age"" - 31(0.27027027027)",,0.8,0.38,No Diabetes,1,0.28,0.475402330642,0.546648704869,0.0712463742273,1,,,,,,BMI,-0.38,0.187490458493,0.046648704869,0,far from boundary,0,1,1,8,7,10,1,0.947932562565,0.0585422796506,0.192679589624,0.192679589624,0.134137309973,0.885091260062,0.9,0,,,,,,,,0.245185006256,0.406934042647,1,0.615026981511,,,,,,,,,,,,,,,,,,,10,0,0,0,-0.38,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,11,130300,,,0.583333333333,7.132,1.9645917,16.4065,"""Glucose"" - 188(0.965312021765)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 185(0.307267178091)
""BMI"" - 32(0.407417813993) -> 40(0.688395616746)
""Age"" - 22(0.027027027027)",,0.8,0.280977802754,Diabetes,1,0.180895616746,0.47914363584,0.572661443177,0.0935178073375,1,,,,,,BMI,0.280977802754,0.332829876314,0.072661443177,0,far from boundary,0,1,1,8,7,10,1,0.887929131118,0.0510070332363,0.174820214047,0.174820214047,0.123813180811,0.816398448931,0.9,0,,,,,,,,0.245185006256,0.296128959234,1,0.685436247968,,,,,,,,,,,,,,,,,,,11,0,0,0,0.280977802754,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,12,130301,,,0.583333333333,7.547,2.0211501333,16.4065,"""Glucose"" - 169(0.80377486822)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 125(0.183535428524)
""BMI"" - 29.9(0.33366114077) -> 39.47624(0.67)
""Age"" - 31(0.27027027027)",,0.8,0.33633885923,Diabetes,1,0.235,0.471507571159,0.583271977216,0.111764406058,1,,,,,,BMI,0.33633885923,0.332297036132,0.083271977216,0,far from boundary,0,1,1,8,7,10,1,0.903961361771,0.0681400565705,0.200244000896,0.200244000896,0.132103944326,0.886856376662,0.9,0,,,,,,,,0.245185006256,0.358077559157,1,0.384403066086,,,,,,,,,,,,,,,,,,,12,0,0,0,0.33633885923,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,13,130302,,,0.583333333333,11.039,2.40143445704,16.4065,"""Glucose"" - 144(0.591225981976)
""Blood Pressure"" - 58(0.217391304348)
""Insulin"" - 140(0.214468365916) -> 298(0.540295306442)
""BMI"" - 29.5(0.319612250632)
""Age"" - 37(0.432432432432)",,0.8,0.325826940526,No Diabetes,0,0.441214689894,0.457524313708,0.443906162682,-0.0136181510253,0,,,,,,Insulin,0.325826940526,-0.0417956569316,0.056093837318,0,far from boundary,0,0,1,8,7,10,1,0.934834611895,0.0899558203792,0.127509100815,-0.127509100815,0.0375532804355,0.838542986341,0.9,0,,,,,,,,0.245185006256,0.346314802308,1,0.48145812777,,,,,,,,,,,,,,,,,,,13,0,0,0.325826940526,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,14,130303,,,0.583333333333,8.441,2.133100785,16.4065,"""Glucose"" - 136(0.523210338378)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 135(0.204157386785) -> 308(0.560917264703)
""BMI"" - 26(0.196684461928)
""Age"" - 51(0.810810810811)",,0.8,0.356759877918,Diabetes,1,0.45757541599,0.461206551844,0.56704994624,0.105843394396,1,,,,,,Insulin,0.356759877918,0.296679646304,0.06704994624,0,far from boundary,0,1,1,8,7,10,1,0.928648024416,0.0439971594513,0.129886741139,0.129886741139,0.0858895816876,0.779731157431,0.9,0,,,,,,,,0.245185006256,0.380928523304,1,0.744584334929,,,,,,,,,,,,,,,,,,,14,0,0,0.356759877918,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,15,130304,,,0.583333333333,6.878,1.92832791201,16.4065,"""Glucose"" - 147(0.616731848325)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 293(0.529984327312) -> 390(0.730017322445)
""BMI"" - 34.9(0.509272267491)
""Age"" - 30(0.243243243243)",,0.8,0.200032995133,No Diabetes,0,0.333260727642,0.456284584367,0.464733613745,0.0084490293782,1,,,,,,Insulin,0.200032995133,0.0422381786194,0.035266386255,0,far from boundary,0,0,1,8,7,10,1,0.959993400973,0.104700083858,0.0843888160536,-0.0843888160536,-0.0203112678046,0.878804887341,0.9,0,,,,,,,,0.245185006256,0.205552336923,1,0.40594256816,,,,,,,,,,,,,,,,,,,15,0,0,0.200032995133,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,16,130305,,,0.583333333333,17.57,2.8661929022,16.4065,"""Glucose"" - 123(0.412684917531)
""Blood Pressure"" - 100(1)
""Insulin"" - 240(0.420687948528) -> 322(0.589788006269)
""BMI"" - 57.3(1)
""Age"" - 22(0.027027027027)",,0.8,0.169100057741,Diabetes,1,0.0422880062691,0.498825750363,0.505062480464,0.0062367301016,1,,,,,,Insulin,0.169100057741,0.0368818922058,0.005062480464,1,near boundary,0,1,1,8,7,10,1,0.890190861061,0.0975567477394,0.0715437340537,0.0715437340537,-0.0260130136856,0.776402487455,0.9,0,,,,,,,,0.245185006256,0.170938615927,1,1.37533240279,,,,,,,,,,,,,,,,,,,16,0,0,0.169100057741,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,17,130306,,,0.583333333333,9.464,2.24749512668,16.4065,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 86(0.826086956522)
""Insulin"" - 105(0.142291512002) -> 293(0.529984327312)
""BMI"" - 39.1(0.656785613936)
""Age"" - 42(0.567567567568)",,0.8,0.38769281531,Diabetes,1,0.488407201373,0.47579270031,0.541325735204,0.0655330348947,1,,,,,,Insulin,0.38769281531,0.169033400431,0.041325735204,0,far from boundary,0,1,1,8,7,10,1,0.887140093246,0.0253928635876,0.0901979742226,0.0901979742226,0.064805110635,0.923644733423,0.9,0,,,,,,,,0.245185006256,0.415542244301,1,0.385900724535,,,,,,,,,,,,,,,,,,,17,0,0,0.38769281531,0,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,18,130307,,,0.583333333333,6.145,1.81563874302,16.4065,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 184(0.305204982265)
""BMI"" - 36.6(0.568980050576) -> 42.32344(0.77)
""Age"" - 46(0.675675675676)",,0.8,0.201019949424,Diabetes,1,0.0725,0.410097907251,0.519715822816,0.109617915565,1,,,,,,BMI,0.201019949424,0.54530864165,0.019715822816,0,far from boundary,0,1,1,8,7,10,1,0.959796010115,0.0898788564425,0.053531717571,0.053531717571,-0.0363471388714,0.932298130606,0.9,0,,,,,,,,0.245185006256,0.206656731247,1,0.462428756509,,,,,,,,,,,,,,,,,,,18,0,0,0,0.201019949424,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,19,130308,,,0.583333333333,8.676,2.16056059296,16.4065,"""Glucose"" - 133(0.497704472029)
""Blood Pressure"" - 102(1)
""Insulin"" - 140(0.214468365916)
""BMI"" - 32.8(0.435515594268) -> 40.3304(0.7)
""Age"" - 45(0.648648648649)",,0.8,0.264484405732,Diabetes,1,0.1625,0.466495820489,0.624199885428,0.157704064939,1,,,,,,BMI,0.264484405732,0.596269804651,0.124199885428,0,far from boundary,0,1,1,8,7,10,1,0.947103118853,0.0133659365246,0.196405182127,0.196405182127,0.183039245602,0.882849395737,0.9,0,,,,,,,,0.245185006256,0.277672973772,1,0.907385798703,,,,,,,,,,,,,,,,,,,19,0,0,0,0.264484405732,0
R_3NlZuMtyMx8GIVO,diabetes,none,Glucose + BMI,testing,No Diabetes,Diabetes,20,130309,,,0.583333333333,9.776,2.27993040243,16.4065,"""Glucose"" - 143(0.582724026526)
""Blood Pressure"" - 84(0.782608695652)
""Insulin"" - 310(0.565041656356) -> 361(0.670213643488)
""BMI"" - 42.4(0.772688957572)
""Age"" - 22(0.027027027027)",,0.8,0.105171987132,No Diabetes,0,0.24998302956,0.481679327756,0.49845059654,0.0167712687832,1,,,,,,Insulin,0.105171987132,0.159465169771,0.00154940346,1,near boundary,0,0,1,8,7,10,1,0.978965602573,0.102945766638,0.00926293247703,-0.00926293247703,-0.093682834161,0.90510857391,0.9,0,,,,,,,,0.245185006256,0.0994035925355,1,0.579629117584,,,,,,,,,,,,,,,,,,,20,0,0,0.105171987132,0,0
R_3akpeiY5qAXqHJo,diabetes,attribution,Glucose + BMI,training,Diabetes,,1,130100,Diabetes,1,0.75,16.161,2.78260093237,18.984,"""Glucose"" - 145(0.599727937426)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 130(0.193846407655)
""BMI"" - 37.9(0.614638943523)
""Age"" - 40(0.513513513514)","""Glucose"" - -56% toward Diabetes
""BMI"" - -44% toward Diabetes",,,,,,,,,,-0.153035198096,0,0,-0.165074459118,0,,,,,,,0,,,10,3,6,1,,,,,,,1,0,,,,,,,,0.524180304215,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0
R_3akpeiY5qAXqHJo,diabetes,attribution,Glucose + BMI,training,Diabetes,,2,130101,No Diabetes,0,0.75,16.068,2.7768297165,18.984,"""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 150(0.235090324177)
""BMI"" - 42.3(0.769176735038)
""Age"" - 48(0.72972972973)","""Age"" - -50% toward Diabetes
""BMI"" - -50% toward Diabetes",,,,,,,,,,-0.153035198096,0,0,-0.15102556898,0,,,,,,,0,,,10,3,6,1,,,,,,,1,0,,,,,,,,0.524180304215,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
