participant,domain,xai,phase,original label,target label,trial number,instance id,training response,training correct (0/1),participant training accuracy,response time (seconds),log(time),participant median time,attribute values before and after,explanation,sparsity,dist user CF from orig,user CF label,successful CF,distance to closest minimal counterfactual,confidence for target label original,confidence for target label user CF,delta confidence of target label,user CF increase target label confidence?,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,delta confidence/change amount,confidence of counterfactual - 50%,close to boundary old,distance to boundary,CRT-2 score (0-4),successful counterfactual (continuous),actionability (0/1),plausibility,abs dist original to boundary,abs dist user CF to boundary,sign dist user CF to boundary,boundary dist change (user - original),plausibility (subset),participant level correct direction change,% x4_changed > 50,cognitive model v0.1 family,explanation reliance (η),global relevance reliance (α),additive change margin (ρ),exemplar locality (λ),remembered-change reliance (β),age treated as actionable (0/1),mean participant CF dist to orig,Norm(proximity),x_1_changed_in_training_cf_direction,x_2_changed_in_training_cf_direction,x_3_changed_in_training_cf_direction,x_4_changed_in_training_cf_direction,x_5_changed_in_training_cf_direction,dist to nearest training instance (L1 normalized),nearest training instance id,opposite-class centroid distance original (L1 normalized),opposite-class centroid distance new (L1 normalized),opposite-class centroid distance change (new - original),same-class centroid distance original (L1 normalized),participant mean boundary distance new,participant median boundary distance new,participant SD boundary distance new,participant IQR boundary distance new,instance mean boundary distance new,instance median boundary distance new,instance SD boundary distance new,instance testing row count,x_1_absolute_change,x_1_signed_change_toward_training_cf_direction,x_2_absolute_change,x_2_signed_change_toward_training_cf_direction,x_3_absolute_change,x_3_signed_change_toward_training_cf_direction,x_4_absolute_change,x_4_signed_change_toward_training_cf_direction,x_5_absolute_change,x_5_signed_change_toward_training_cf_direction,median response time < 10,x_1 Glucose SHAP change Δφ,x_2 Blood Pressure SHAP change Δφ,x_3 Insulin SHAP change Δφ,x_4 BMI SHAP change Δφ,x_5 Age SHAP change Δφ,x_1 Glucose target-helpful SHAP change,x_2 Blood Pressure target-helpful SHAP change,x_3 Insulin target-helpful SHAP change,x_4 BMI target-helpful SHAP change,x_5 Age target-helpful SHAP change,x_1_train_change,x_2_train_change,x_3_train_change,x_4_train_change,x_5_train_change,mean(proximity),mean(sparsity),sign dist user CF + original dist,x_1 Glucose original value,x_2 Blood Pressure original value,x_3 Insulin original value,x_4 BMI original value,x_5 Age original value,x_1 Glucose final changed value,x_2 Blood Pressure final changed value,x_3 Insulin final changed value,x_4 BMI final changed value,x_5 Age final changed value
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,11,160107,Diabetes,1,0.9166666667,6.995,1.9451956081,6.6945,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 184(0.305204982265)
""BMI"" - 36.6(0.568980050576)
""Age"" - 46(0.675675675676)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,-0.1,-0.099995876,,,0.406395875,,,100,78,184,36.6,46,,,,,
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,12,160111,No Diabetes,1,0.9166666667,6.477,1.8682574402,6.6945,"""Glucose"" - 103(0.242645808536)
""Blood Pressure"" - 30(0)
""Insulin"" - 83(0.0969232038274)
""BMI"" - 43.3(0.804298960382)
""Age"" - 33(0.324324324324)",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1.347826087,0.1484780995,,,0.406395875,,,103,30,83,43.3,33,,,,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,1,160212,,,0.9166666667,27.859,3.327156074,6.6945,"""Glucose"" - 111(0.310661452134)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 207(0.352635486266)
""BMI"" - 37.1(0.586541163248) -> 33.2124(0.45)
""Age"" - 56(0.945945945946) -> 47(0.702702702703)",,0.6,0.3797844065,Diabetes,0,0.5797802821,0.0145223684,0.0011643693,-0.013357999,0,,,,-0.136541163,-0.243243243,0,0,0,1,1,-0.035172584,0.4988356307,0,near boundary,3,0,0,0.9240431187,0.0372518432,0.1033287039,-0.103328704,0.0660768607,0.9165212252,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.1324853786,,,,1,1,0.5592181795,160107,1.413928036,1.0341436295,-0.379784406,0.822492173,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1258676994,0.0853823844,0.1245684753,62,,,,,,,0.1365411632,0.1365411632,0.2432432432,0.2432432432,0,,,,0.3505066802,-0.35106993,,,,0.3505066802,-0.35106993,,,,,,0.406395875,,-0.066076861,111,72,207,37.1,56,,,,33.2124,47
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,2,160201,,,0.9166666667,12.403,2.5179383788,6.6945,"""Glucose"" - 187(0.956810066315) -> 149(0.633735759225)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 200(0.338200115483)
""BMI"" - 36.4(0.561955605507) -> 31.7888(0.4)
""Age"" - 36(0.405405405405)",,0.6,0.4850299126,Diabetes,0,0.7623787536,0.0000100978,0.484209526,0.4841994282,1,-0.323074307,,,-0.161955606,,1,0,0,1,0,0.9982877667,0.015790474,0,far from boundary,3,0,1,0.9375210109,0.2811421175,0.0012534662,-0.001253466,-0.279888651,0.9112814174,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.1739460861,1,,,1,,0.4387406549,160102,1.1026266726,0.61759676,-0.485029913,0.7680003968,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1364671895,0.1135632332,0.1186592959,62,0.3230743071,0.3230743071,,,,,0.1619556055,0.1619556055,,,0,0.4143933765,,,0,,0.4143933765,,,0,,,,,,,0.406395875,,0.2798886513,187,70,200,36.4,36,149,,,31.7888,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,3,160211,,,0.9166666667,14.927,2.7031716537,6.6945,"""Glucose"" - 145(0.599727937426) -> 119(0.378677095732)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 130(0.193846407655)
""BMI"" - 37.9(0.614638943523) -> 29.79576(0.33)
""Age"" - 40(0.513513513514) -> 36(0.405405405405)",,0.4,0.6137978933,Diabetes,0,0.6138148972,0.0173759568,0.1054998999,0.0881239431,1,-0.221050842,,,-0.284638944,-0.108108108,1,0,0,1,1,0.1435715959,0.3945001001,0,far from boundary,3,0,0,0.9479318604,0.0747170723,0.063169402,-0.063169402,-0.01154767,0.8829174851,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.2246733026,1,,,1,1,0.4190518464,160106,0.9793735863,0.5639546535,-0.415418933,0.3839051767,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1017527879,0.0775711114,0.0888267959,62,0.2210508417,0.2210508417,,,,,0.2846389435,0.2846389435,0.1081081081,0.1081081081,0,0.4333683942,,,0.2555027035,-0.367503519,0.4333683942,,,0.2555027035,-0.367503519,,,,,,0.406395875,,0.0115476704,145,80,130,37.9,40,119,,,29.79576,36
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,4,160214,,,0.9166666667,15.143,2.717538379,6.6945,"""Glucose"" - 104(0.251147763986)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 156(0.247463499134)
""BMI"" - 29.9(0.33366114077)
""Age"" - 41(0.540540540541) -> 32(0.297297297297)",,0.8,0.2432432432,Diabetes,0,0.4433374611,0.0040397564,0.1242817123,0.120241956,1,,,,,-0.243243243,0,0,0,0,1,0.4943280413,0.3757182877,0,near boundary,3,0,0,0.9513513514,0.0501717968,0.0472125767,-0.047212577,-0.00295922,0.9007446276,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.0786959729,,,,,1,0.5233038891,160104,0.75346257,0.5462553628,-0.207207207,0.6879889416,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1124680075,0.0909241077,0.0865221178,62,,,,,,,,,0.2432432432,0.2432432432,0,,,,,-0.006922986,,,,,-0.006922986,,,,,,0.406395875,,0.0029592201,104,74,156,29.9,41,,,,,32
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,5,160210,,,0.9166666667,8.829,2.1780417579,6.6945,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 215(0.369133052875)
""BMI"" - 39.4(0.66732228154) -> 29.79576(0.33)
""Age"" - 43(0.594594594595)",,0.8,0.3373222815,Diabetes,0,0.5373181571,0.0020648162,0.0000724799,-0.001992336,0,,,,-0.337322282,,0,0,0,1,0,-0.005906329,0.4999275201,0,near boundary,3,0,1,0.9573214859,0.066463282,0.1170568399,-0.11705684,0.0505935579,0.9058108552,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.115757731,,,,1,,0.3303079044,160107,1.2968551404,0.9595328589,-0.337322282,0.6184627556,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1187173821,0.089538031,0.1047708372,62,,,,,,,0.3373222815,0.3373222815,,,0,,,,0,,,,,0,,,,,,,0.406395875,,-0.050593558,100,74,215,39.4,43,,,,29.79576,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,6,160202,,,0.9166666667,11.298,2.4246257189,6.6945,"""Glucose"" - 125(0.429688828431) -> 111(0.310661452134)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 115(0.162913470263)
""BMI"" - 31.1(0.375807811183)
""Age"" - 41(0.540540540541) -> 35(0.378378378378)",,0.6,0.2811895385,Diabetes,0,0.281202418,0.0226086727,0.3093204075,0.2867117348,1,-0.119027376,,,,-0.162162162,1,0,0,0,1,1.0196386978,0.1906795925,0,near boundary,3,0,0,0.9574948684,0.0569726485,0.0160462157,-0.016046216,-0.040926433,0.8972232793,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.093644642,1,,,,1,0.3625185742,160101,0.4455616254,0.4024268395,-0.043134786,0.6388077573,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1235540605,0.1103595994,0.0985053191,62,0.1190273763,0.1190273763,,,,,,,0.1621621622,0.1621621622,0,0,,,,0.031183062,0,,,,0.031183062,,,,,,0.406395875,,0.0409264328,125,70,115,31.1,41,111,,,,35
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,7,160213,,,0.9166666667,13.85,2.6282852326,6.6945,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 88(0.869565217391) -> 66(0.391304347826)
""Insulin"" - 145(0.224779345047)
""BMI"" - 34.5(0.495223377353)
""Age"" - 40(0.513513513514)",,0.8,0.4782608696,No Diabetes,1,0.4782567452,0.0076023606,0.9992725879,0.9916702274,1,,-0.47826087,,,,0,1,0,0,0,2.0734922936,0.4992725879,0,far from boundary,3,1,1,0.9415377286,0.0929170929,0.1294063707,0.1294063707,0.0364892778,0.8821300028,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.1712794704,,1,,,,0.4882968502,160108,1.0591360307,0.6533389293,-0.405797101,0.6105400015,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1062537727,0.0890795951,0.0943224145,62,,,0.4782608696,0.4782608696,,,,,,,0,,0.1775843435,,,,,0.1775843435,,,,,,,,,0.406395875,,0.2223234637,117,88,145,34.5,40,,66,,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,8,160204,,,0.9166666667,10.383,2.3401698533,6.6945,"""Glucose"" - 125(0.429688828431)
""Blood Pressure"" - 70(0.478260869565) -> 65(0.369565217391)
""Insulin"" - 122(0.177348841046)
""BMI"" - 28.9(0.298538915426)
""Age"" - 45(0.648648648649) -> 33(0.324324324324)",,0.6,0.4330199765,No Diabetes,1,0.6329988482,0.0314886929,0.8864387317,0.8549500387,1,,-0.108695652,,,-0.324324324,0,1,0,0,1,1.9743893703,0.3864387317,0,near boundary,3,1,0,0.9729993484,0.0395820491,0.1063262211,0.1063262211,0.0667441719,0.8926265131,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.1534571471,,1,,,1,0.352966142,160101,0.5282999156,0.211221968,-0.317077948,0.7737133544,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1357575649,0.1167453892,0.0834032193,62,,,0.1086956522,0.1086956522,,,,,0.3243243243,0.3243243243,0,,0.0208599197,,,0.3863464516,,0.0208599197,,,0.3863464516,,,,,,0.406395875,,0.1459082702,125,70,122,28.9,45,,65,,,33
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,9,160200,,,0.9166666667,26.37,3.2722270004,6.6945,"""Glucose"" - 154(0.676245536473) -> 113(0.327665363033)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 126(0.18559762435)
""BMI"" - 31.3(0.382832256252)
""Age"" - 37(0.432432432432)",,0.8,0.3485801734,Diabetes,0,0.4225102208,0.0117860294,0.0621305497,0.0503445203,1,-0.348580173,,,,,1,0,0,0,0,0.1444273774,0.4378694503,0,far from boundary,3,0,1,0.950267525,0.0980127824,0.0660798105,-0.066079811,-0.031932972,0.9141888047,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.1201926962,1,,,,,0.3369080806,160101,0.5608415903,0.5126638427,-0.048177748,0.6737290054,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.0942045267,0.0703520035,0.0932843537,62,0.3485801734,0.3485801734,,,,,,,,,0,0.4417255366,,,,,0.4417255366,,,,,,,,,,0.406395875,,0.0319329718,154,72,126,31.3,37,113,,,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,10,160203,,,0.9166666667,10.629,2.3635861146,6.6945,"""Glucose"" - 161(0.735759224622) -> 144(0.591225981976)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 132(0.197970799307)
""BMI"" - 25.5(0.179123349255)
""Age"" - 47(0.702702702703) -> 38(0.459459459459)",,0.6,0.3877764859,No Diabetes,1,0.387891832,0.0154053958,0.9602602464,0.9448548506,1,-0.144533243,,,,-0.243243243,1,0,0,0,1,2.4365965574,0.4602602464,0,near boundary,3,1,0,0.9224447028,0.060551933,0.0958569637,0.0958569637,0.0353050308,0.9411213358,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.1356338006,1,,,,1,0.380934036,160101,0.8886281343,0.5008516484,-0.387776486,1.0295529653,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1376307562,0.1360897029,0.0972173195,62,0.1445332426,0.1445332426,,,,,,,0.2432432432,0.2432432432,0,0.4592863875,,,,0.2595645068,0.4592863875,,,,0.2595645068,,,,,,0.406395875,,0.1564088967,161,68,132,25.5,47,144,,,,38
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,11,160218,,,0.9166666667,20.449,3.0179339815,6.6945,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 193(0.3237647447)
""BMI"" - 29.3(0.312587805563) -> 36.34432(0.56)
""Age"" - 39(0.486486486486)",,0.8,0.2474121944,Diabetes,1,0.2472968483,0.0239115963,0.9644313061,0.9405197098,1,,,,0.2474121944,,0,0,0,1,0,3.8014282682,0.4644313061,0,far from boundary,3,1,1,0.9505175611,0.0818222237,0.0549419134,0.0549419134,-0.02688031,0.8844496277,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.0803383011,,,,1,,0.3901305655,160101,0.5082740208,0.3318780294,-0.176395991,0.7356625016,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.0881326827,0.0710283616,0.0742651953,62,,,,,,,0.2474121944,0.2474121944,,,0,,,,-0.445821073,,,,,0.4458210728,,,,,,,0.406395875,,0.1367641371,154,74,193,29.3,39,,,,36.34432,
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,12,160207,,,0.9166666667,5.089,1.6270813476,6.6945,"""Glucose"" - 89(0.123618432239) -> 104(0.251147763986)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 85(0.10104759548) -> 172(0.280458632352)
""BMI"" - 30.4(0.351222253442)
""Age"" - 38(0.459459459459)",,0.6,0.3069403686,Diabetes,1,0.0461060981,3.0657169e-6,0.9990586828,0.9990556171,1,0.1275293317,,0.1794110369,,,1,0,1,0,0,3.25488505,0.4990586828,0,far from boundary,3,1,1,0.9736725346,0.2041352752,0.0942862579,0.0942862579,-0.109849017,0.9014441892,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.1037889957,1,,1,,,0.2878621507,160104,1.0254541454,0.7185137767,-0.306940369,0.6710560297,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1643015192,0.1573915557,0.1165105383,62,0.1275293317,0.1275293317,,,0.1794110369,0.1794110369,,,,,0,-0.185103514,,-0.390302757,,,0.1851035136,,0.3903027569,,,,,,,,0.406395875,,0.2984215332,89,74,85,30.4,38,104,,172,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,13,160208,,,0.9166666667,2.792,1.0267581849,6.6945,"""Glucose"" - 126(0.43819078388)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 75(0.0804256372185) -> 186(0.309329373917)
""BMI"" - 25.9(0.193172239393)
""Age"" - 39(0.486486486486)",,0.8,0.2289037367,No Diabetes,0,0.428985075,0.0118459204,0.0176651311,0.0058192107,1,,,0.2289037367,,,0,0,1,0,0,0.025422087,0.4823348689,0,far from boundary,3,0,1,0.9542192527,0.0900870805,0.0772097416,-0.077209742,-0.012877339,0.8959652575,0.9,0,weighted examples,0,,0,0,0,1,0.406395875,0.0730470278,,,1,,,0.3407626756,160105,0.862526739,0.6336230023,-0.228903737,0.4922175126,0.0714439526,0.0711106972,0.042240565,0.0447864706,0.1397863527,0.1026645563,0.1172302105,62,,,,,0.2289037367,0.2289037367,,,,,0,,,0,,,,,0,,,,,,,,0.406395875,,0.0128773389,126,74,75,25.9,39,,,186,,
