row_id,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,target
99,4166,0,44,360,1,1
100,2137,8980,137,360,0,1
101,2957,0,81,360,1,1
102,4300,2014,194,360,1,1
103,23803,0,370,360,1,1
104,10513,3850,160,180,0,0
105,2014,1929,74,360,1,1
106,2718,0,70,360,1,1
107,3459,0,25,120,1,1
108,4895,0,102,360,1,1
109,4000,7750,290,360,1,0
110,4583,0,84,360,1,0
111,3316,3500,88,360,1,1
112,14999,0,242,360,0,0
113,4200,1430,129,360,1,0
114,5042,2083,185,360,1,0
115,5417,0,168,360,1,1
116,6950,0,175,180,1,1
117,2698,2034,122,360,1,1
118,11757,0,187,180,1,1
119,2330,4486,100,360,1,1
120,14866,0,70,360,1,1
121,1538,1425,30,360,1,1
122,10000,1666,225,360,1,0
123,4860,830,125,360,1,1
124,6277,0,118,360,0,0
125,2577,3750,152,360,1,1
126,9166,0,244,360,1,0
127,2281,0,113,360,1,0
128,3254,0,50,360,1,1
129,39999,0,600,180,0,1
130,9538,0,187,360,1,1
131,2980,2083,120,360,1,1
132,4583,5625,255,360,1,1
133,1863,1041,98,360,1,1
134,7933,0,275,360,1,0
135,3089,1280,121,360,0,0
136,4167,1447,158,360,1,1
137,9323,0,75,180,1,1
138,4583,0,112,360,1,0
139,2439,3333,129,360,1,1
140,2237,0,63,480,0,0
141,8000,0,200,360,1,1
142,1820,1769,95,360,1,1
143,51763,0,700,300,1,1
144,3522,0,81,180,1,0
145,5708,5625,187,360,1,1
146,4344,736,87,360,1,0
147,3497,1964,116,360,1,1
148,2045,1619,101,360,1,1
149,5516,11300,495,360,0,0
150,3750,0,116,360,1,1
151,2333,1451,102,480,0,0
152,6400,7250,180,360,0,0
153,4600,0,73,180,1,1
154,33846,0,260,360,1,0
155,3625,0,108,360,1,1
156,39147,4750,120,360,1,1
157,2178,0,66,300,0,0
158,674,5296,168,360,1,1
159,9328,0,188,180,1,1
160,4885,0,48,360,1,1
161,12000,0,164,360,1,0
162,6033,0,160,360,1,0
163,3858,0,76,360,1,1
164,4191,0,120,360,1,1
165,3125,2583,170,360,1,0
166,8333,3750,187,360,1,1
167,11000,0,83,360,1,0
168,2600,2500,90,360,1,1
169,4923,0,166,360,0,1
170,3500,1083,135,360,1,1
171,3917,0,124,360,1,1
172,4408,0,120,360,1,1
173,3244,0,80,360,1,1
174,3975,2531,55,360,1,1
175,2479,0,59,360,1,1
176,3418,0,127,360,1,0
177,10000,0,214,360,1,0
178,3430,1250,128,360,0,0
179,7787,0,240,360,1,1
180,5703,0,130,360,1,1
181,3173,3021,137,360,1,1
182,3850,983,100,360,1,1
183,150,1800,135,360,1,0
184,3727,1775,131,360,1,1
185,5000,0,72,360,0,0
186,2221,0,60,360,0,0
187,4009,1717,116,360,1,1
188,2971,2791,144,360,1,1
189,6250,0,128,360,1,1
190,3250,0,170,360,1,0
191,4735,0,138,360,1,0
192,6250,1695,210,360,1,1
193,4758,0,158,480,1,1
194,6400,0,200,360,1,1
195,2491,2054,104,360,1,1
196,3716,0,42,180,1,1
197,8333,0,280,360,1,1
198,3155,1779,140,360,1,1
199,5500,1260,170,360,1,1
200,3812,0,112,360,1,1
201,3315,0,96,360,1,1
202,5819,5000,120,360,1,1
203,2510,1983,140,180,1,0
204,2965,5701,155,60,1,1
205,6250,1300,108,360,1,1
206,3406,4417,123,360,1,1
207,6050,4333,120,180,1,0
208,9703,0,112,360,1,1
209,6608,0,137,180,1,1
210,2882,1843,123,480,1,1
211,1809,1868,90,360,1,1
212,1668,3890,201,360,0,0
213,3427,0,138,360,1,0
214,2583,2167,104,360,1,1
215,2661,7101,279,180,1,1
216,16250,0,192,360,0,0
217,3083,0,255,360,1,1
218,6045,0,115,360,0,0
219,5250,0,94,360,1,0
220,14683,2100,304,360,1,0
221,2060,2209,134,360,1,1
222,3481,0,155,36,1,0
223,7200,0,120,360,1,1
224,5166,0,128,360,1,1
225,4095,3447,151,360,1,1
226,4708,1387,150,360,1,1
227,4333,1811,160,360,0,1
228,3418,0,135,360,1,0
229,2876,1560,90,360,1,1
230,3237,0,30,360,1,1
231,11146,0,136,360,1,1
232,2833,1857,126,360,1,1
233,2620,2223,150,360,1,1
234,3900,0,90,360,1,1
235,2750,1842,115,360,1,1
236,3993,3274,207,360,1,1
237,3103,1300,80,360,1,1
238,14583,0,436,360,1,1
239,4053,2426,158,360,0,0
240,3927,800,112,360,1,1
241,2301,986,78,180,1,1
242,1811,1666,54,360,1,1
243,3158,3053,89,360,1,1
244,2600,1717,99,300,1,0
245,3704,2000,120,360,1,1
246,4124,0,115,360,1,1
247,9508,0,187,360,1,1
248,3075,2416,139,360,1,1
249,4400,0,127,360,0,0
250,3153,1560,134,360,1,1
251,5417,0,143,480,0,0
252,2383,3334,172,360,1,1
253,4416,1250,110,360,1,1
254,6875,0,200,360,1,1
255,4666,0,135,360,1,1
256,5000,2541,151,480,1,0
257,2014,2925,113,360,1,0
258,1800,2934,93,360,0,0
259,2875,1750,105,360,1,1
260,5000,0,132,360,1,1
261,1625,1803,96,360,1,1
262,4000,2500,140,360,1,1
263,3762,1666,135,360,1,1
264,2400,1863,104,360,0,0
265,20233,0,480,360,1,0
266,2917,0,84,360,1,1
267,2927,2405,111,360,1,1
268,2507,0,56,360,1,1
269,2473,1843,159,360,1,0
270,3399,1640,111,180,1,1
271,3717,0,120,360,1,1
272,10000,0,155,360,1,0
273,2400,2167,115,360,1,1
274,4342,189,124,360,1,1
275,15000,0,300,360,1,1
276,8666,4983,376,360,0,0
277,4917,0,130,360,0,1
278,5818,2160,184,360,1,1
279,4333,2451,110,360,1,0
280,2500,0,67,360,1,1
281,4384,1793,117,360,1,1
282,2935,0,98,360,1,1
283,2833,0,71,360,1,1
284,63337,0,490,180,1,1
285,9833,1833,182,180,1,1
286,5250,688,160,360,1,1
287,2500,4600,176,360,1,1
288,4160,0,71,360,1,1
289,2647,1587,173,360,1,0
290,2378,0,46,360,1,0
291,4554,1229,158,360,1,1
292,3173,0,74,360,1,1
293,2583,2330,125,360,1,1
294,2499,2458,160,360,1,1
295,3523,3230,152,360,0,0
296,3083,2168,126,360,1,1
297,2625,6250,187,360,1,1
298,9083,0,228,360,1,1
299,8750,4167,308,360,1,0
300,2666,2083,95,360,1,1
301,5500,0,105,360,0,0
302,2423,505,130,360,1,1
303,3813,0,116,180,1,1
304,8333,3167,165,360,1,1
305,3875,0,67,360,1,0
306,3000,1666,100,480,0,0
307,5167,3167,200,360,1,1
308,4723,0,81,360,1,0
309,5000,3667,236,360,1,1
310,4750,2333,130,360,1,1
311,6822,0,141,360,1,1
312,6216,0,133,360,1,0
313,2500,0,96,480,1,0
314,6325,0,175,360,1,1
315,19730,5266,570,360,1,0
316,15759,0,55,360,1,1
317,5185,0,155,360,1,1
318,9323,7873,380,300,1,1
319,3062,1987,111,180,0,0
320,2764,1459,110,360,1,1
321,4817,923,120,180,1,1
322,8750,4996,130,360,1,1
323,3069,0,71,480,1,0
324,5391,0,130,360,1,1
325,3333,2500,128,360,1,1
326,5941,4232,296,360,1,1
327,6000,0,156,360,1,1
328,7167,0,128,360,1,1
329,4566,0,100,360,1,0
330,3667,0,113,180,1,1
331,2346,1600,132,360,1,1
332,2333,2417,136,360,1,1
333,5488,0,125,360,1,1
334,9167,0,185,360,1,1
335,9504,0,275,360,1,1
336,1993,1625,113,180,1,1
337,3100,1400,113,360,1,1
338,3180,0,71,360,0,0
339,3033,1459,95,360,1,1
340,3902,1666,109,360,1,1
341,1500,1800,103,360,0,0
342,2889,0,45,180,0,0
343,2755,0,65,300,1,0
344,2500,20000,103,360,1,1
345,1963,0,53,360,1,1
346,7441,0,194,360,1,0
347,4547,0,115,360,1,1
348,2167,2400,115,360,1,1
349,2213,0,66,360,1,1
350,8300,0,152,300,0,0
351,81000,0,360,360,0,0
352,3867,0,62,360,1,0
353,6096,0,218,360,0,0
354,2253,2033,110,360,1,1
355,2149,3237,178,360,0,0
356,2995,0,60,360,1,1
357,2600,0,160,360,1,0
358,1600,20000,239,360,1,0
359,1025,2773,112,360,1,1
360,3246,1417,138,360,1,1
361,5829,0,138,360,1,1
362,1820,1719,100,360,1,1
363,14880,0,96,360,1,1
364,2666,4300,121,360,1,1
365,4606,0,81,360,1,0
366,5935,0,133,360,1,1
367,2920,16,87,360,1,1
368,2717,0,60,180,1,1
369,8624,0,150,360,1,1
370,6500,0,105,360,0,0
371,12876,0,405,360,1,1
372,2425,2340,143,360,1,1
373,3750,0,100,360,1,1
374,1926,1851,50,360,1,1
375,10416,0,187,360,0,0
376,7142,0,138,360,1,1
377,3660,5064,187,360,1,1
378,7901,1833,180,360,1,1
379,4707,1993,148,360,1,1
380,37719,0,152,360,1,1
381,3466,1210,130,360,1,1
382,4652,0,110,360,1,1
383,3539,1376,55,360,1,0
384,3340,1710,150,360,0,0
385,2309,1255,125,360,0,0
386,3948,1733,149,360,0,0
387,2483,2466,90,180,0,1
388,7085,0,84,360,1,1
389,3859,0,96,360,1,1
390,4301,0,118,360,1,1
391,3708,2569,173,360,1,0
392,4354,0,136,360,1,1
393,8334,0,160,360,1,0
394,7740,0,128,180,1,1
395,3015,2188,153,360,1,1
396,5191,0,132,360,1,1
397,4166,0,98,360,0,0
398,6000,0,140,360,1,1
399,2947,1664,70,180,0,0
400,16692,0,110,360,1,1
401,210,2917,98,360,1,1
402,4333,2451,110,360,1,0
403,3450,2079,162,360,1,1
404,2653,1500,113,180,0,0
405,4691,0,100,360,1,1
406,5532,4648,162,360,1,1
407,16525,1014,150,360,1,1
408,6700,1750,230,300,1,1
409,2873,1872,132,360,0,0
410,16667,2250,86,360,1,1
411,4350,0,154,360,1,1
412,3095,0,113,360,1,1
413,2083,3150,128,360,1,1
414,10833,0,234,360,1,1
415,8333,0,246,360,1,1
416,1958,2436,131,360,1,1
417,3547,0,80,360,0,0
418,18333,0,500,360,1,0
419,4583,2083,160,360,1,1
420,2435,0,75,360,1,0
421,3691,0,110,360,1,1
422,17263,0,225,360,1,1
423,3597,2157,119,360,0,0
424,3326,913,105,84,1,1
425,2600,1700,107,360,1,1
426,2895,0,95,360,1,1
427,6283,4416,209,360,0,0
428,645,3683,113,480,1,1
429,3159,0,100,360,1,1
430,4865,5624,208,360,1,1
431,3814,1483,124,300,1,1
432,3510,4416,243,360,1,1
433,3583,0,96,360,1,0
434,2479,3013,188,360,1,1
435,13262,0,40,360,1,1
436,3598,1287,100,360,1,0
437,6065,2004,250,360,1,1
438,3283,2035,148,360,1,1
439,2130,6666,70,180,1,0
440,5815,3666,311,360,1,0
441,3466,3428,150,360,1,1
442,2031,1632,113,480,1,1
443,3074,1800,123,360,0,0
444,4683,1915,185,360,1,0
445,3400,0,95,360,1,0
446,2192,1742,45,360,1,1
447,2500,0,55,360,1,1
448,5677,1424,100,360,1,1
449,7948,7166,480,360,1,1
450,17500,0,400,360,1,1
451,3775,0,110,360,1,1
452,5285,1430,161,360,0,1
453,2679,1302,94,360,1,1
454,6783,0,130,360,1,1
455,4281,0,100,360,1,1
456,3588,0,110,360,0,0
457,18165,0,125,360,1,1
458,2550,2042,126,360,1,1
459,6133,3906,324,360,1,1
460,3617,0,107,360,1,1
461,2917,536,66,360,1,0
462,6417,0,157,180,1,1
463,4608,2845,140,180,1,1
464,2138,0,99,360,0,0
465,3652,0,95,360,1,1
466,2239,2524,128,360,1,1
467,2768,1950,155,360,1,1
468,3358,0,80,36,1,0
469,2526,1783,145,360,1,1
470,5000,0,103,360,0,0
471,2785,2016,110,360,1,1
472,3333,3250,158,360,1,1
473,2454,2333,181,360,0,0
474,3593,4266,132,180,0,0
475,5468,1032,26,360,1,1
476,10139,0,260,360,1,1
477,3887,2669,162,360,1,1
478,4180,2306,182,360,1,1
479,3675,242,108,360,1,1
480,19484,0,600,360,1,1
481,5923,2054,211,360,1,1
482,5800,0,132,360,1,1
483,8799,0,258,360,0,0
484,3333,0,70,360,1,1
485,3400,2500,123,360,0,0
486,2378,0,9,360,1,0
487,3166,2064,104,360,0,0
488,3417,1750,186,360,1,1
489,5116,1451,165,360,0,0
490,16666,0,275,360,1,1
491,6125,1625,187,480,1,0
492,6406,0,150,360,1,0
493,3159,461,108,84,1,1
494,3087,2210,136,360,0,0
495,3229,2739,110,360,1,1
496,1782,2232,107,360,1,1
497,3182,2917,161,360,1,1
498,6540,0,205,360,1,1
499,1836,33837,90,360,1,0
500,3166,0,36,360,1,1
501,2787,1917,146,360,0,0
502,4283,3000,172,84,1,0
503,2297,1522,104,360,1,1
504,2165,0,70,360,1,1
505,4750,0,94,360,1,1
506,2726,0,106,360,0,0
507,3000,3416,56,180,1,1
508,6000,0,205,240,1,0
509,9357,0,292,360,1,1
510,3859,3300,142,180,1,1
511,16120,0,260,360,1,1
512,3833,0,110,360,1,1
513,6383,1000,187,360,1,0
514,2987,0,88,360,0,0
515,9963,0,180,360,1,1
516,5780,0,192,360,1,1
517,2894,2792,155,360,1,1
518,5703,0,128,360,1,1
519,3676,4301,172,360,1,1
520,12000,0,496,360,1,1
521,3400,2500,173,360,1,1
522,3987,1411,157,360,1,1
523,3232,1950,108,360,1,1
524,2900,0,71,360,1,1
525,4106,0,40,180,1,1
526,8072,240,253,360,1,1
527,7583,0,187,360,1,1
528,4583,0,133,360,0,0
