row_id,peak_temperature_c,heating_rate_c_min,soak_time_min,cooling_rate_c_min,body_moisture_pct,pressing_pressure_mpa,green_density_g_cm3,particle_d50_um,feldspar_pct,target
50,1207.8,9.13,25.2,5.34,6.69,40.6,1.886,12.25,18.89,1
51,1167.6,5.14,40.9,5.83,6.0,32.1,1.847,9.4,17.86,0
52,1141.3,8.38,45.4,10.69,4.48,24.8,1.808,13.86,24.58,1
53,1198.9,5.55,55.4,5.94,5.49,31.3,1.834,17.35,19.25,1
54,1160.1,5.41,29.1,5.9,5.74,27.1,1.804,9.96,23.63,0
55,1191.3,6.48,48.3,6.19,6.75,38.2,1.866,19.3,26.11,1
56,1165.6,6.97,41.1,5.95,5.22,31.1,1.84,9.85,18.19,1
57,1227.1,6.99,51.9,8.26,8.5,35.7,1.862,14.88,17.1,1
58,1185.4,5.87,46.9,5.07,4.92,30.3,1.857,11.67,27.79,1
59,1174.1,7.02,43.0,7.04,8.36,33.9,1.813,12.26,24.29,1
60,1139.2,6.74,35.6,6.8,6.51,33.6,1.89,11.83,24.45,0
61,1166.6,7.66,46.1,6.86,8.15,21.8,1.747,12.19,22.46,0
62,1168.4,6.0,50.3,5.21,5.69,32.4,1.848,15.1,16.28,0
63,1171.2,5.99,56.0,6.18,6.02,18.0,1.758,15.81,19.82,1
64,1197.9,5.68,35.0,7.85,6.45,30.7,1.851,13.39,20.77,0
65,1203.9,3.59,19.1,7.95,5.91,30.2,1.872,8.59,29.53,0
66,1144.1,5.68,34.8,7.78,5.24,30.0,1.848,14.26,23.82,0
67,1222.7,7.39,24.0,6.78,5.28,24.9,1.836,7.67,20.49,1
68,1161.8,8.55,44.3,8.75,6.33,28.9,1.804,12.73,19.24,0
69,1202.7,5.89,33.4,7.46,6.51,32.8,1.835,9.34,28.28,1
70,1143.2,8.44,41.8,7.45,6.42,29.3,1.813,9.64,21.88,0
71,1232.0,8.35,49.5,8.89,7.21,32.2,1.817,7.54,26.81,1
72,1185.9,8.45,41.2,4.29,5.64,26.6,1.764,16.67,23.82,1
73,1171.5,7.55,44.3,5.79,5.79,35.9,1.863,15.62,26.93,1
74,1210.7,7.66,46.4,7.34,5.65,29.1,1.808,12.93,15.23,1
75,1186.5,7.28,35.6,4.35,5.19,34.0,1.865,7.64,20.54,0
76,1188.3,8.93,29.3,8.5,4.29,21.0,1.778,17.38,24.39,1
77,1178.2,8.76,38.1,7.13,5.87,33.7,1.842,15.89,20.44,0
78,1207.8,6.38,41.5,5.9,5.89,32.0,1.797,13.2,27.69,1
79,1190.7,9.48,43.3,4.45,4.92,35.8,1.904,17.63,31.12,1
80,1153.2,8.23,37.3,6.29,6.99,31.9,1.809,13.44,22.86,1
81,1145.7,4.63,29.3,4.27,4.98,35.0,1.893,9.54,16.93,0
82,1184.1,6.02,37.1,6.21,6.17,24.3,1.803,17.89,26.54,1
83,1186.5,8.64,28.5,4.82,6.98,27.4,1.813,10.94,16.41,1
84,1211.2,8.49,44.6,8.18,5.55,20.4,1.761,9.01,25.77,1
85,1156.0,9.53,46.0,9.09,5.0,36.0,1.905,14.56,20.91,0
86,1193.3,5.89,61.9,2.44,5.2,24.7,1.836,15.94,23.11,1
87,1197.1,5.87,17.4,5.89,6.36,32.5,1.849,12.68,25.29,0
88,1215.5,4.88,36.0,6.93,6.41,32.7,1.833,13.24,21.58,1
89,1174.5,6.5,53.3,7.73,7.41,30.2,1.844,13.38,23.86,1
90,1218.0,4.45,41.2,4.24,4.63,35.6,1.869,11.37,21.2,0
91,1160.9,7.53,52.7,7.22,7.4,34.4,1.844,10.91,22.21,0
92,1163.3,8.44,35.9,5.58,7.34,28.5,1.794,15.7,17.51,0
93,1195.9,8.62,33.7,9.16,8.05,27.1,1.796,12.79,18.7,1
94,1227.4,6.37,52.5,8.73,5.66,28.1,1.868,16.06,18.8,1
95,1120.0,6.76,49.6,5.49,6.26,29.7,1.804,18.76,25.91,0
96,1155.8,6.33,55.9,5.8,6.2,29.1,1.82,14.93,23.29,0
97,1187.3,9.12,45.4,5.92,7.14,34.9,1.85,14.61,20.06,1
98,1168.4,3.56,34.0,3.21,5.53,37.7,1.866,15.35,20.08,0
99,1154.2,3.45,42.8,5.84,6.04,24.8,1.834,13.78,23.05,0
100,1188.6,7.68,39.4,8.43,7.61,35.3,1.797,8.21,23.69,1
101,1207.0,12.5,32.8,7.35,5.83,32.0,1.847,15.05,22.5,1
102,1175.8,11.7,32.7,4.83,5.85,24.7,1.827,14.1,19.71,0
103,1166.7,6.95,18.3,5.13,6.02,23.4,1.772,16.42,22.02,1
104,1197.6,10.13,21.3,5.63,4.85,25.0,1.844,13.87,26.94,1
105,1196.7,6.71,58.1,2.48,4.66,22.9,1.792,13.67,18.75,1
106,1222.6,12.17,44.5,7.68,6.55,35.2,1.862,16.98,22.14,1
107,1169.1,3.95,38.8,4.63,6.68,30.0,1.834,18.84,22.03,0
108,1173.6,7.39,34.0,6.21,6.1,24.3,1.806,17.93,19.58,1
109,1195.0,7.86,27.2,5.81,5.39,30.0,1.87,11.04,21.33,1
110,1213.6,8.22,42.8,6.15,5.95,32.5,1.868,8.47,24.35,1
111,1152.6,7.63,56.9,7.22,5.65,33.8,1.825,12.74,18.47,1
112,1182.9,6.5,53.3,5.6,5.17,28.6,1.848,16.53,26.72,0
113,1204.0,8.95,43.6,6.04,5.97,33.2,1.818,14.96,19.84,1
114,1179.8,8.23,57.7,4.05,6.88,37.8,1.857,16.14,24.25,1
115,1202.5,9.67,41.1,5.2,5.31,29.1,1.847,14.3,23.44,1
116,1185.1,7.82,34.6,6.63,5.71,23.8,1.811,12.98,28.31,0
117,1176.5,5.9,38.7,7.09,7.29,38.0,1.866,15.63,25.35,0
118,1168.6,8.33,39.5,5.71,4.84,33.2,1.891,15.5,19.39,0
119,1190.4,8.37,50.1,6.9,5.97,30.0,1.842,12.17,26.65,1
120,1177.7,6.2,42.0,4.36,5.24,29.5,1.843,11.88,23.04,0
121,1236.3,10.9,35.9,6.93,5.53,30.9,1.859,10.79,19.69,1
122,1204.0,8.18,47.3,7.73,7.0,38.0,1.855,12.48,21.07,1
123,1208.7,8.49,36.5,6.94,5.6,38.3,1.896,15.57,24.14,1
124,1193.1,8.1,49.8,7.31,5.06,37.6,1.884,16.45,18.93,1
125,1133.4,7.11,49.7,7.32,6.45,26.9,1.812,18.46,18.09,0
126,1173.2,5.86,38.8,6.27,7.34,31.6,1.831,14.5,20.85,0
127,1188.4,8.65,47.2,6.95,6.9,35.0,1.889,15.7,17.69,0
128,1168.0,5.42,40.8,4.38,5.99,32.1,1.847,13.23,22.09,0
129,1183.1,8.47,31.4,5.98,5.04,27.8,1.837,11.71,18.24,0
130,1158.4,8.67,42.3,3.76,6.58,35.3,1.833,20.36,18.81,0
131,1169.7,11.87,35.2,4.95,5.1,31.7,1.877,16.14,21.08,1
132,1160.6,5.0,50.6,5.94,6.67,26.4,1.851,8.36,19.82,0
133,1148.8,5.11,54.6,6.09,5.73,36.9,1.868,14.06,20.3,0
134,1157.9,9.39,28.8,6.11,5.92,34.8,1.881,11.35,20.35,0
135,1189.4,7.75,35.6,7.57,5.99,37.2,1.91,16.31,19.29,0
136,1163.5,5.76,35.8,4.96,6.01,29.3,1.824,12.32,21.05,0
137,1133.7,5.29,41.2,5.29,6.78,29.8,1.847,14.37,14.45,0
138,1171.7,5.38,40.1,4.57,5.82,35.0,1.872,19.42,21.57,0
139,1167.1,5.3,48.4,6.93,6.2,29.1,1.828,16.57,17.63,0
140,1202.8,9.2,38.4,7.4,6.01,32.8,1.84,19.14,25.39,1
141,1198.8,7.86,29.7,4.9,6.16,24.4,1.762,13.5,25.56,1
142,1203.5,7.76,51.3,7.28,3.81,31.7,1.877,17.07,24.5,1
143,1178.6,6.26,47.1,9.81,6.46,30.4,1.844,17.97,22.44,1
144,1184.5,4.96,37.3,6.22,4.42,28.9,1.833,11.35,24.09,0
145,1214.3,7.53,45.2,6.65,5.24,35.2,1.902,10.92,21.99,0
146,1141.9,8.79,21.6,5.89,6.4,32.6,1.826,13.62,16.25,0
147,1172.4,3.83,25.5,4.64,6.84,35.1,1.835,10.24,26.47,0
148,1204.1,9.59,56.8,8.41,5.81,34.8,1.855,11.97,23.22,1
149,1186.1,7.43,37.8,3.73,5.32,28.3,1.827,11.84,21.05,0
150,1167.8,6.26,54.8,7.16,6.32,24.5,1.814,13.87,25.48,1
151,1156.5,10.78,40.4,5.28,6.34,36.4,1.89,14.05,25.69,0
152,1215.6,3.38,58.3,4.0,5.49,32.7,1.86,13.02,23.47,1
153,1195.6,6.17,32.5,3.27,6.82,29.0,1.853,13.53,23.23,0
154,1206.8,8.53,58.3,5.97,5.32,33.1,1.854,13.59,16.11,1
155,1154.0,4.95,39.8,8.88,6.41,34.7,1.855,17.43,26.44,0
156,1193.0,5.04,38.7,4.03,6.19,27.3,1.782,14.87,24.36,1
157,1179.4,9.38,37.5,4.66,7.36,23.0,1.751,16.25,18.73,1
158,1156.3,7.77,40.5,4.48,4.74,30.2,1.842,15.12,27.18,1
159,1153.5,4.39,24.8,7.21,7.02,30.6,1.854,11.35,26.04,0
160,1195.4,7.07,35.9,4.89,6.18,34.0,1.843,12.43,22.73,0
161,1178.8,8.0,42.5,7.69,5.78,32.9,1.858,6.81,18.75,0
162,1193.6,8.03,19.2,6.85,6.9,36.6,1.867,17.97,18.98,0
163,1212.2,9.42,35.3,5.69,4.72,35.9,1.875,12.32,24.16,1
164,1202.8,6.94,50.5,7.07,5.83,22.9,1.806,11.19,21.92,1
165,1182.7,7.69,20.7,4.49,6.58,31.5,1.821,10.42,18.45,0
166,1154.0,7.79,35.6,5.96,7.05,27.0,1.774,17.48,31.04,1
167,1176.5,7.91,41.4,8.14,4.42,33.6,1.892,12.84,20.21,1
168,1180.0,9.7,40.0,6.22,5.91,35.9,1.875,9.69,20.05,1
169,1218.9,7.44,36.6,3.88,5.32,24.3,1.778,16.65,20.42,1
170,1192.1,7.3,42.2,3.92,5.77,30.9,1.811,13.44,22.97,1
171,1153.3,7.12,50.5,5.5,6.16,31.9,1.845,16.63,20.36,0
172,1171.7,4.77,32.3,5.82,3.95,30.5,1.861,10.18,23.2,0
173,1167.5,9.71,39.8,2.05,5.99,37.9,1.878,15.62,18.96,0
174,1202.4,8.33,34.5,5.85,6.12,22.5,1.778,12.82,21.75,1
175,1154.4,6.62,50.6,8.7,5.98,32.5,1.819,13.72,20.38,0
176,1207.8,5.93,32.7,7.49,4.7,23.9,1.817,10.21,24.51,1
177,1185.0,7.28,33.5,7.28,5.8,28.3,1.85,13.47,23.26,1
178,1239.1,5.21,40.4,5.72,6.3,22.0,1.776,12.24,23.17,1
179,1182.9,5.68,37.6,4.35,5.68,38.5,1.91,12.76,18.73,0
180,1169.7,5.5,33.3,5.83,4.9,35.3,1.889,14.21,26.38,0
181,1185.5,5.2,48.2,6.12,5.46,27.2,1.827,11.85,24.1,0
182,1199.7,7.29,38.7,3.97,5.6,22.5,1.783,13.25,22.78,1
183,1164.2,8.48,43.4,3.76,5.39,32.7,1.87,12.26,18.13,0
184,1166.5,6.92,59.7,7.62,7.13,30.7,1.858,14.67,26.88,1
185,1168.0,8.66,31.8,5.02,5.27,32.7,1.839,14.57,24.92,0
186,1186.8,10.78,33.8,5.98,5.65,29.3,1.85,8.88,15.28,0
187,1183.0,6.78,32.5,5.05,6.21,24.4,1.802,16.9,19.78,0
188,1163.0,8.06,45.6,4.75,5.62,18.0,1.744,16.62,21.76,1
189,1203.7,7.4,48.2,5.22,6.03,36.4,1.87,13.92,25.37,1
190,1169.9,11.02,48.3,6.5,6.44,36.0,1.904,16.67,21.28,1
191,1149.5,5.22,70.0,5.91,5.42,32.4,1.885,8.73,17.32,0
192,1173.1,8.4,40.7,4.17,6.04,33.3,1.846,15.19,15.38,0
193,1146.9,7.18,61.3,5.78,4.83,35.1,1.871,13.22,22.83,0
194,1159.8,8.25,50.3,3.68,4.57,36.2,1.897,12.21,25.87,0
195,1231.1,10.95,46.1,6.74,6.74,33.4,1.833,9.61,24.69,1
196,1194.0,4.82,42.0,7.4,7.37,26.1,1.763,19.15,22.32,1
197,1183.3,8.28,37.7,4.3,4.95,28.9,1.83,16.11,22.58,0
198,1144.1,10.13,38.9,3.9,4.77,44.0,1.946,10.89,26.26,0
199,1154.1,8.31,36.0,6.3,5.4,38.5,1.889,16.02,22.98,0
200,1181.2,8.53,46.4,4.29,5.43,26.3,1.827,11.39,19.77,1
201,1221.6,6.92,35.7,6.93,4.82,31.4,1.823,13.04,20.77,1
202,1197.8,4.34,35.4,6.23,4.81,31.8,1.894,6.4,24.75,0
203,1204.2,9.26,45.1,8.89,4.33,20.6,1.822,14.37,21.53,1
204,1221.6,9.41,54.1,5.2,4.53,31.2,1.871,17.36,21.68,1
205,1164.0,7.1,26.5,4.92,5.86,31.0,1.866,11.44,24.63,0
206,1172.8,7.88,47.4,5.66,7.02,34.9,1.869,12.17,25.15,0
207,1203.6,8.56,54.6,2.87,5.65,38.7,1.88,7.75,21.0,0
208,1152.4,4.38,41.9,5.04,7.29,29.5,1.796,10.96,21.67,0
209,1219.6,6.54,34.0,6.15,6.2,29.7,1.819,12.78,28.88,1
210,1183.0,6.93,37.5,7.46,5.06,19.7,1.791,9.86,25.63,1
211,1199.9,9.39,35.3,8.73,6.42,28.7,1.81,9.44,25.49,1
212,1186.7,7.8,45.8,8.57,7.44,32.5,1.816,18.02,22.45,1
213,1174.4,6.73,56.6,6.33,5.73,34.2,1.872,14.6,18.12,0
214,1156.6,9.21,25.7,5.78,6.05,22.0,1.784,18.87,25.79,0
215,1179.1,8.31,51.3,7.84,7.27,39.9,1.944,10.68,24.55,0
216,1174.5,6.74,34.8,7.23,6.18,30.9,1.851,12.34,24.76,0
217,1169.8,5.46,38.9,4.46,5.08,26.7,1.861,13.35,19.41,0
218,1178.9,7.18,42.6,9.58,4.46,31.6,1.865,17.66,16.0,0
219,1208.6,7.76,40.8,5.37,6.32,36.0,1.887,14.21,22.77,1
220,1213.3,8.56,26.9,6.44,7.01,28.1,1.846,16.4,25.81,1
221,1183.6,6.85,41.9,6.17,6.32,32.4,1.835,13.84,19.26,0
222,1179.9,9.47,67.8,6.92,6.22,37.1,1.879,11.53,26.32,1
223,1195.3,5.03,22.2,8.25,6.55,29.7,1.822,13.07,18.92,0
224,1222.2,8.92,35.2,7.77,6.65,38.4,1.867,8.21,23.39,1
225,1126.8,6.91,26.1,4.03,5.75,32.6,1.849,13.89,17.0,0
226,1175.8,5.96,21.5,4.77,5.99,28.3,1.838,12.32,22.29,0
227,1162.1,6.72,58.7,7.31,4.4,31.0,1.897,16.38,21.68,0
228,1177.9,7.7,26.5,7.06,5.63,33.1,1.878,14.1,24.22,1
229,1199.8,8.66,33.1,6.68,6.39,32.2,1.855,11.24,22.29,1
230,1161.6,11.02,34.1,6.62,5.98,21.7,1.755,11.66,19.18,1
231,1182.5,7.84,38.7,3.86,5.4,26.6,1.837,17.26,19.89,0
232,1178.2,5.77,31.8,8.09,5.05,23.4,1.832,9.3,28.81,0
233,1176.8,8.27,44.5,4.98,6.5,23.4,1.783,13.61,22.5,1
234,1139.9,3.75,32.3,7.01,5.2,25.4,1.795,13.56,23.5,0
235,1206.7,8.64,50.2,6.38,6.4,29.3,1.833,13.38,19.64,1
236,1201.9,6.44,42.0,5.88,3.93,29.2,1.844,6.49,22.56,0
237,1160.3,10.9,37.5,8.85,5.33,36.8,1.918,18.75,24.31,1
238,1136.4,8.65,28.1,8.96,6.31,27.3,1.82,15.18,16.81,0
239,1178.0,7.64,33.4,7.65,6.87,29.4,1.824,14.68,24.12,1
240,1172.3,9.15,36.3,6.82,5.82,35.0,1.82,17.66,21.21,1
241,1212.8,6.39,33.7,7.72,6.2,22.1,1.796,12.42,23.95,1
242,1222.4,5.58,35.3,5.8,3.43,32.2,1.892,14.3,20.4,0
243,1168.3,3.68,24.3,8.97,5.45,32.6,1.843,11.91,21.7,0
244,1164.7,6.75,36.4,5.29,4.95,26.5,1.821,17.5,18.84,0
245,1167.8,8.0,28.6,5.27,7.13,41.2,1.926,9.56,22.72,0
246,1209.8,9.18,49.1,3.7,7.11,25.2,1.763,12.67,26.22,1
247,1176.1,4.75,43.3,6.7,6.29,32.4,1.841,10.1,21.67,0
248,1197.8,5.71,47.3,6.02,5.55,35.6,1.866,13.87,23.12,1
249,1193.5,5.92,24.0,7.8,7.82,26.7,1.822,14.86,23.82,1
250,1216.5,7.69,61.6,4.51,3.97,40.0,1.897,13.88,21.25,1
251,1139.8,7.49,42.9,5.51,5.86,31.1,1.824,12.97,26.04,0
252,1173.5,5.84,29.8,6.91,5.54,25.3,1.804,11.76,21.56,0
253,1190.3,8.05,32.9,5.9,5.59,27.6,1.878,12.41,20.49,0
254,1172.4,7.14,50.8,5.73,5.39,42.8,1.912,13.24,17.77,0
255,1171.4,5.89,32.3,6.49,4.95,35.5,1.875,11.81,12.61,0
256,1192.1,8.87,38.6,4.36,6.77,29.0,1.814,13.7,21.73,1
257,1155.1,8.05,27.4,8.65,5.76,32.0,1.846,14.28,18.72,0
258,1238.8,7.44,30.1,8.46,3.0,30.2,1.878,12.71,17.63,1
259,1205.4,8.67,30.2,4.71,5.05,28.2,1.803,11.36,21.05,1
260,1176.4,8.18,38.4,7.51,7.03,34.5,1.824,20.43,27.08,1
261,1174.3,8.89,31.4,5.16,4.14,34.3,1.893,8.92,26.38,0
262,1188.9,7.83,31.3,5.44,4.9,26.9,1.832,12.5,22.44,0
263,1180.0,7.97,38.6,8.8,5.03,34.7,1.823,15.96,22.25,1
264,1146.9,6.36,50.3,6.06,4.48,29.6,1.865,12.8,20.76,0
265,1186.6,5.35,35.6,5.14,5.36,30.9,1.84,12.98,26.75,1
266,1147.8,9.96,24.0,6.17,5.72,31.7,1.848,17.11,17.44,0
267,1222.1,6.3,40.8,5.22,5.68,29.7,1.821,11.86,24.82,1
268,1182.9,6.41,40.3,5.22,6.24,26.4,1.857,16.1,22.13,1
269,1197.8,7.1,31.1,4.47,5.27,33.0,1.851,15.31,28.31,1
270,1206.4,6.07,39.0,7.14,6.73,29.0,1.814,6.32,24.77,1
271,1177.8,5.52,23.2,4.5,5.56,31.7,1.846,11.19,21.7,0
272,1219.8,5.31,52.5,7.63,6.45,30.3,1.883,12.73,24.86,1
273,1178.0,5.67,35.6,6.25,6.24,26.2,1.822,16.73,20.44,0
274,1209.0,6.31,37.4,6.29,5.74,36.1,1.862,11.15,24.17,0
275,1202.5,6.33,39.2,3.6,6.3,32.9,1.84,9.89,19.38,0
276,1183.8,9.79,31.9,6.7,6.8,29.9,1.836,11.11,17.94,0
277,1196.4,5.55,40.2,5.71,7.5,29.1,1.801,12.44,21.07,1
278,1188.8,6.7,35.6,6.69,6.22,41.6,1.873,17.95,22.08,0
279,1162.4,9.74,43.2,3.89,5.24,29.6,1.843,10.0,21.99,0
280,1192.5,9.73,31.1,7.1,7.09,25.4,1.789,14.56,19.88,1
281,1146.0,7.4,37.3,6.94,3.96,29.7,1.867,13.25,22.04,0
282,1173.4,8.64,25.6,8.06,5.03,28.7,1.868,11.71,23.8,0
283,1179.9,8.58,48.0,8.35,6.11,30.7,1.85,11.4,21.3,1
284,1170.2,3.86,29.7,5.34,5.59,32.8,1.844,18.21,18.75,0
285,1166.7,8.24,28.2,5.83,5.83,28.0,1.845,16.9,21.24,0
286,1211.0,6.23,36.2,4.93,5.15,34.4,1.864,11.84,19.34,1
287,1207.7,7.59,39.5,4.2,4.58,36.4,1.9,13.32,24.99,1
288,1169.8,8.11,52.4,6.19,6.1,39.1,1.867,9.85,21.04,0
289,1161.3,8.58,33.2,5.48,6.27,24.3,1.8,9.9,18.1,0
290,1202.3,8.49,40.6,7.99,6.82,23.9,1.819,8.78,22.09,1
291,1202.2,7.47,46.1,4.69,4.86,20.6,1.755,14.1,19.34,1
292,1220.3,6.77,47.8,7.54,4.97,38.3,1.905,10.58,18.0,0
293,1187.7,9.17,42.5,6.49,5.77,29.3,1.831,15.96,18.61,1
294,1201.0,7.89,54.8,7.86,5.26,24.8,1.82,12.7,17.65,1
295,1160.5,8.74,40.6,7.74,5.41,29.8,1.821,12.2,22.36,0
296,1158.6,7.96,46.0,4.29,6.28,32.0,1.88,12.41,24.71,0
297,1172.8,7.88,28.9,2.42,4.73,32.5,1.889,14.36,20.13,0
298,1173.0,6.75,46.9,7.21,8.05,41.6,1.854,16.47,25.97,1
299,1147.9,5.83,34.2,6.28,6.68,31.9,1.833,14.64,28.76,0
300,1193.3,6.94,47.1,7.49,4.26,33.8,1.86,10.96,22.51,1
301,1240.9,4.97,34.8,6.95,5.41,36.8,1.899,16.18,22.94,1
302,1188.5,6.12,31.6,6.79,5.57,26.8,1.781,12.21,24.22,1
303,1136.2,7.86,27.8,4.24,5.45,28.4,1.841,12.58,19.1,0
304,1221.9,7.29,44.6,4.02,5.61,32.4,1.83,12.05,21.38,1
305,1186.8,6.41,43.3,7.57,6.22,31.5,1.823,13.71,23.71,1
306,1168.6,9.99,44.7,6.94,6.02,34.1,1.861,15.87,20.11,0
307,1154.5,6.83,36.4,8.72,5.27,39.0,1.864,15.96,23.77,0
308,1155.0,7.64,53.0,5.55,6.12,26.5,1.815,14.53,18.07,0
309,1194.1,10.71,39.4,5.82,5.75,31.2,1.835,13.29,17.71,0
310,1218.7,8.4,29.8,6.46,7.45,32.0,1.826,13.77,20.63,1
311,1176.6,8.38,24.2,3.72,5.44,32.6,1.866,16.09,16.15,0
312,1201.6,6.24,38.1,5.61,5.94,35.0,1.831,14.25,17.99,1
313,1205.2,6.53,53.6,4.16,5.24,38.3,1.889,14.97,21.45,0
314,1164.1,6.04,31.4,5.59,7.75,22.2,1.782,13.15,19.55,0
315,1182.5,6.79,53.6,6.27,7.24,35.3,1.865,12.22,20.28,0
316,1184.2,4.96,25.6,3.56,6.93,28.8,1.798,14.89,24.57,0
317,1206.3,8.71,34.7,7.42,6.23,37.7,1.814,8.69,26.24,1
318,1207.9,7.06,52.6,7.81,6.49,37.0,1.883,10.78,16.76,0
319,1206.1,6.72,42.3,5.34,6.39,36.7,1.849,8.78,25.71,1
320,1209.2,7.32,34.0,6.16,5.02,38.2,1.889,15.5,23.57,1
321,1173.4,8.56,36.9,7.47,5.27,27.0,1.821,13.36,23.64,1
322,1165.2,9.01,40.8,6.4,5.17,29.2,1.796,10.61,25.13,1
323,1195.5,6.52,28.2,7.95,6.92,33.1,1.843,14.44,26.79,1
324,1133.8,7.78,47.3,9.05,7.55,35.5,1.854,16.0,18.73,0
325,1198.2,5.44,31.5,5.33,4.75,31.8,1.901,17.11,21.89,0
326,1141.9,5.11,45.0,5.89,4.11,32.4,1.889,14.72,18.96,0
327,1149.8,5.21,21.9,7.45,6.74,32.3,1.899,10.57,20.69,0
328,1175.6,8.53,38.8,5.01,6.47,25.1,1.778,15.86,25.2,1
329,1190.0,6.9,50.9,6.55,5.84,41.0,1.898,13.44,24.29,0
330,1181.6,6.38,51.6,6.45,6.49,25.3,1.795,14.8,23.07,1
331,1160.4,9.26,47.5,6.77,4.89,33.7,1.855,10.82,20.74,0
332,1195.6,6.27,50.2,7.23,6.19,34.3,1.842,13.95,26.82,1
333,1129.7,9.33,44.7,4.17,5.34,25.0,1.815,14.06,22.74,0
334,1189.6,5.8,24.3,8.05,4.39,25.5,1.78,13.21,21.01,0
335,1141.9,8.07,27.9,5.51,4.9,35.9,1.874,11.33,19.53,0
336,1176.7,5.38,18.1,5.91,5.43,44.0,1.914,16.65,23.08,0
