domain,split,instance_id,prediction_label,truncated_top2_pair,regularized_pair,exact_pair_match,overlap_count,retained_features,dropped_features,added_features,regularized_nonzero_count,unregularized_pair_reproduced,stored_raw_shap_values,recomputed_unregularized_values,regularized_values
safelimit,training,960,Below Limit,units | stomach_fullness,units | stomach_fullness,1,2,units | stomach_fullness,,,2,1,"[0.3015971877845228,-0.0161308479111065,0.032708773220047796,-0.046212709587518275,-0.049258131529991145]","[0.3015971877845228,-0.0161308479111065,0.032708773220047796,-0.046212709587518275,-0.049258131529991145]","[0.28677979564523437,0.0,0.0,0.0,-0.06407552366927971]"
safelimit,training,239,Above Limit,weight | duration,weight | duration,1,2,weight | duration,,,2,1,"[0.01115785096945554,-0.22393920502732056,-0.38855355904489275,-0.0878716496076945,-0.08808916531358724]","[0.01115785096945554,-0.22393920502732056,-0.38855355904489275,-0.0878716496076945,-0.08808916531358724]","[0.0,-0.30634068700323375,-0.4709550410208057,0.0,0.0]"
safelimit,training,124,Below Limit,weight | gender,weight | gender,1,2,weight | gender,,,2,1,"[0.09488598216671196,0.14816355238293355,-0.13324053870786717,0.2003804197543589,-0.08748649773325734]","[0.09488598216671196,0.14816355238293355,-0.13324053870786717,0.2003804197543589,-0.08748649773325734]","[0.0,0.08524302524572727,0.0,0.1374598926171526,0.0]"
safelimit,training,143,Above Limit,weight | stomach_fullness,weight | stomach_fullness,1,2,weight | stomach_fullness,,,2,1,"[0.0739633461250851,-0.3960707495221746,-0.08357860611101253,-0.1653520790316042,-0.20623649856945203]","[0.0739633461250851,-0.3960707495221746,-0.08357860611101253,-0.1653520790316042,-0.20623649856945203]","[0.0,-0.48355441903094054,0.0,0.0,-0.29372016807821766]"
safelimit,training,131,Above Limit,duration | gender,duration | gender,1,2,duration | gender,,,2,1,"[-0.1457971237617024,-0.14095028312464408,-0.39316004831758244,-0.16187643459551293,0.0644951911321966]","[-0.1457971237617024,-0.14095028312464408,-0.39316004831758244,-0.16187643459551293,0.0644951911321966]","[0.0,0.0,-0.5042861561946572,-0.27300254247258804,0.0]"
safelimit,training,213,Above Limit,duration | stomach_fullness,duration | stomach_fullness,1,2,duration | stomach_fullness,,,2,1,"[-0.18287084002722748,-0.11387601140633474,-0.4003410226390785,0.1059233383143281,-0.18613119106506137]","[-0.18287084002722748,-0.11387601140633474,-0.4003410226390785,0.1059233383143281,-0.18613119106506137]","[0.0,0.0,-0.4957527791986956,0.0,-0.2815429476246784]"
safelimit,training,322,Below Limit,gender | stomach_fullness,gender | stomach_fullness,1,2,gender | stomach_fullness,,,2,1,"[-0.08825082705782585,0.04434866866746964,-0.09620725240727224,0.22267278965180065,0.13938459497704048]","[-0.08825082705782585,0.04434866866746964,-0.09620725240727224,0.22267278965180065,0.13938459497704048]","[0.0,0.0,0.0,0.1526180842529865,0.06932988957822617]"
safelimit,testing,87,Above Limit,units | duration,units | duration,1,2,units | duration,,,2,1,"[-0.5657596781079313,0.02541806708785349,-0.09486821836410758,-0.07255840105270844,-0.06952749758715138]","[-0.5657596781079313,0.02541806708785349,-0.09486821836410758,-0.07255840105270844,-0.06952749758715138]","[-0.6240935938839345,0.0,-0.15320213414011086,0.0,0.0]"
safelimit,testing,203,Above Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[-0.1906626134463033,-0.5903777768921128,0.03388534485316669,-0.06361843577970627,0.033477753244882336]","[-0.1906626134463033,-0.5903777768921128,0.03388534485316669,-0.06361843577970627,0.033477753244882336]","[-0.18879028228713168,-0.5885054457329416,0.0,0.0,0.0]"
safelimit,testing,106,Above Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[-0.241042854996516,-0.21141770277466432,-0.18898669715127214,-0.06679014563885716,-0.06905832746273566]","[-0.241042854996516,-0.21141770277466432,-0.18898669715127214,-0.06679014563885716,-0.06905832746273566]","[-0.40346044012294835,-0.373835287901097,0.0,0.0,0.0]"
safelimit,testing,143,Above Limit,units | stomach_fullness,units | stomach_fullness,1,2,units | stomach_fullness,,,2,1,"[-0.42380913064496006,-0.22845298458737062,0.0012880110789698085,0.1076864218008168,-0.2340080455131227]","[-0.42380913064496006,-0.22845298458737062,0.0012880110789698085,0.1076864218008168,-0.2340080455131227]","[-0.48354840649875197,0.0,0.0,0.0,-0.29374732136691484]"
safelimit,testing,300,Above Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[-0.2699066792374335,-0.3817867009897947,-0.08943243954382063,-0.08240948678192794,0.046239578528936676]","[-0.2699066792374335,-0.3817867009897947,-0.08943243954382063,-0.08240948678192794,0.046239578528936676]","[-0.33270785313583945,-0.4445878748882007,0.0,0.0,0.0]"
safelimit,testing,211,Above Limit,duration | stomach_fullness,duration | stomach_fullness,1,2,duration | stomach_fullness,,,2,1,"[0.01995543645087161,-0.1448853164363451,-0.2691018478648948,-0.16345804841020461,-0.21915113099950445]","[0.01995543645087161,-0.1448853164363451,-0.2691018478648948,-0.16345804841020461,-0.21915113099950445]","[0.0,0.0,-0.41329581206273386,0.0,-0.36334509519734354]"
safelimit,testing,262,Above Limit,weight | gender,weight | gender,1,2,weight | gender,,,2,1,"[-0.16473660521395395,-0.3876808041635818,-0.11129674683491508,-0.1746908303434832,0.0611092598279267]","[-0.16473660521395395,-0.3876808041635818,-0.11129674683491508,-0.1746908303434832,0.0611092598279267]","[0.0,-0.4951428502740528,0.0,-0.2821528764539546,0.0]"
safelimit,testing,69,Above Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[-0.6636879984640168,-0.1874523266847794,0.10594604203003938,-0.059417052592631914,0.027315607687343313]","[-0.6636879984640168,-0.1874523266847794,0.10594604203003938,-0.059417052592631914,0.027315607687343313]","[-0.6267656999016415,-0.1505300281224038,0.0,0.0,0.0]"
safelimit,testing,251,Above Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[-0.33232607774288003,-0.3765257960099654,0.06955041320100108,-0.06809507248378427,-0.06989919498841668]","[-0.33232607774288003,-0.3765257960099654,0.06955041320100108,-0.06809507248378427,-0.06989919498841668]","[-0.36654800487848005,-0.4107477231455653,0.0,0.0,0.0]"
safelimit,testing,177,Above Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[-0.37889248046394697,-0.24934713844598294,0.05271371378026912,-0.09485321713970551,-0.10691660575444051]","[-0.37889248046394697,-0.24934713844598294,0.05271371378026912,-0.09485321713970551,-0.10691660575444051]","[-0.4534205350208853,-0.32387519300292156,0.0,0.0,0.0]"
safelimit,testing,98,Below Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[0.2710360749929048,0.07731304320552543,-0.03291570752841229,-0.04687351686482799,-0.045855621829245685]","[0.2710360749929048,0.07731304320552543,-0.03291570752841229,-0.04687351686482799,-0.045855621829245685]","[0.20821365188166183,0.014490620094282397,0.0,0.0,0.0]"
safelimit,testing,261,Below Limit,units | duration,units | duration,1,2,units | duration,,,2,1,"[0.1703571770124051,-0.013372293133796731,0.0833495969758218,-0.02874199550860751,0.011111786630132015]","[0.1703571770124051,-0.013372293133796731,0.0833495969758218,-0.02874199550860751,0.011111786630132015]","[0.154855926006269,0.0,0.06784834596968567,0.0,0.0]"
safelimit,testing,4,Below Limit,units | duration,units | weight,0,1,units,duration,weight,2,1,"[0.18936302057851118,0.0840256081875222,-0.1598025484751327,0.07196193737225998,0.03715625420308111]","[0.18936302057851118,0.0840256081875222,-0.1598025484751327,0.07196193737225998,0.03715625420308111]","[0.16402084212861534,0.058683429737626414,0.0,0.0,0.0]"
safelimit,testing,209,Below Limit,units | duration,units | duration,1,2,units | duration,,,2,1,"[0.11199195879054273,0.025876132409076116,0.09556993022356824,-0.027018814216734383,0.01628506476950195]","[0.11199195879054273,0.025876132409076116,0.09556993022356824,-0.027018814216734383,0.01628506476950195]","[0.11956315027146457,0.0,0.1031411217044901,0.0,0.0]"
safelimit,testing,245,Below Limit,units | duration,units | duration,1,2,units | duration,,,2,1,"[0.06330500766681452,0.03566598145584998,0.06975009559446119,0.04343964850571662,0.01054353875311237]","[0.06330500766681452,0.03566598145584998,0.06975009559446119,0.04343964850571662,0.01054353875311237]","[0.10812959202415401,0.0,0.11457467995180065,0.0,0.0]"
safelimit,testing,281,Below Limit,duration | gender,gender | stomach_fullness,0,1,gender,duration,stomach_fullness,2,1,"[-0.06264908376602192,0.08792253466956075,-0.14763955397861725,0.2132506289888811,0.13181677737421849]","[-0.06264908376602192,0.08792253466956075,-0.14763955397861725,0.2132506289888811,0.13181677737421849]","[0.0,0.0,0.0,0.152067577451342,0.07063372583667918]"
safelimit,testing,148,Below Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[0.4187683024392146,-0.1424565793475886,0.04263577283888918,-0.05172946734785988,-0.0445137579944046]","[0.4187683024392146,-0.1424565793475886,0.04263577283888918,-0.05172946734785988,-0.0445137579944046]","[0.3919645761875271,-0.1692603055992764,0.0,0.0,0.0]"
safelimit,testing,265,Below Limit,units | weight,units | weight,1,2,units | weight,,,2,1,"[0.46917616417147645,-0.15951027439843962,-0.00403947787263198,-0.042691431348306386,-0.040230708841227314]","[0.46917616417147645,-0.15951027439843962,-0.00403947787263198,-0.042691431348306386,-0.040230708841227314]","[0.4256953551403938,-0.20299108342952266,0.0,0.0,0.0]"
safelimit,testing,25,Below Limit,units | duration,units | duration,1,2,units | duration,,,2,1,"[0.2521163233554682,0.04909273698975594,-0.07990976221207885,0.04118340870765139,-0.039778434864842005]","[0.2521163233554682,0.04909273698975594,-0.07990976221207885,0.04118340870765139,-0.039778434864842005]","[0.27736517877175093,0.0,-0.05466090679579627,0.0,0.0]"
safelimit,testing,117,Below Limit,weight | duration,weight | duration,1,2,weight | duration,,,2,1,"[-0.04387308476452621,0.2667388159577386,0.1578914232386086,-0.07462823122205023,-0.08343626129760451]","[-0.04387308476452621,0.2667388159577386,0.1578914232386086,-0.07462823122205023,-0.08343626129760451]","[0.0,0.1657700273156481,0.056922634596518085,0.0,0.0]"
diabetes,training,36,No Diabetes,glucose | blood_pressure,glucose | blood_pressure,1,2,glucose | blood_pressure,,,2,1,"[0.14297175776867468,0.059175986244311946,0.0431658649100648,0.0011524051297815419,0.032102549819014836]","[0.14297175776867468,0.059175986244311946,0.0431658649100648,0.0011524051297815419,0.032102549819014836]","[0.18118216769810525,0.09738639617374256,0.0,0.0,0.0]"
diabetes,training,190,No Diabetes,glucose | insulin,glucose | insulin,1,2,glucose | insulin,,,2,1,"[0.14313139903373678,0.031106051726415035,0.08533257120045232,-0.03723254656912618,0.05635134823607646]","[0.14313139903373678,0.031106051726415035,0.08533257120045232,-0.03723254656912618,0.05635134823607646]","[0.16824382573041938,0.0,0.11044499789713505,0.0,0.0]"
diabetes,training,225,Diabetes,glucose | bmi,glucose | bmi,1,2,glucose | bmi,,,2,1,"[-0.4715968984442115,-0.13103124658980464,0.11451937417462907,-0.13366066096881846,-0.09829289131706598]","[-0.4715968984442115,-0.13103124658980464,0.11451937417462907,-0.13366066096881846,-0.09829289131706598]","[-0.528999280310332,0.0,0.0,-0.19106304283493936,0.0]"
diabetes,training,115,Diabetes,glucose | age,glucose | age,1,2,glucose | age,,,2,1,"[-0.400579065878677,-0.0733918441907565,-0.0793739083672193,-0.07315144156090542,-0.09401550098484457]","[-0.400579065878677,-0.0733918441907565,-0.0793739083672193,-0.07315144156090542,-0.09401550098484457]","[-0.5135376629381174,0.0,0.0,0.0,-0.20697409804428524]"
diabetes,training,1,Diabetes,blood_pressure | insulin,blood_pressure | insulin,1,2,blood_pressure | insulin,,,2,1,"[-0.07150331703401352,-0.348076877726484,-0.2565846212449568,0.03567104173004981,-0.07966546674868302]","[-0.07150331703401352,-0.348076877726484,-0.2565846212449568,0.03567104173004981,-0.07966546674868302]","[0.0,-0.40582574875280747,-0.31433349227128,0.0,0.0]"
diabetes,training,2,Diabetes,blood_pressure | bmi,blood_pressure | bmi,1,2,blood_pressure | bmi,,,2,1,"[-0.11634787286520498,-0.28046196460077705,0.05788629707477211,-0.2018875217203811,-0.16295638313431604]","[-0.11634787286520498,-0.28046196460077705,0.05788629707477211,-0.2018875217203811,-0.16295638313431604]","[0.0,-0.3911709440631514,0.0,-0.31259650118275567,0.0]"
diabetes,training,118,No Diabetes,blood_pressure | age,blood_pressure | age,1,2,blood_pressure | age,,,2,1,"[-0.016607647254068603,0.14296052977721857,0.06061959862555272,0.01300227916194309,0.07000804522004023]","[-0.016607647254068603,0.14296052977721857,0.06061959862555272,0.01300227916194309,0.07000804522004023]","[0.0,0.1714676450439322,0.0,0.0,0.0985151604867538]"
diabetes,training,7,No Diabetes,insulin | bmi,insulin | bmi,1,2,insulin | bmi,,,2,1,"[0.03745958028750415,-0.21927367960452016,0.22905819148392756,0.24616378379488602,-0.013921133392902962]","[0.03745958028750415,-0.21927367960452016,0.22905819148392756,0.24616378379488602,-0.013921133392902962]","[0.0,0.0,0.131190575128968,0.1482961674399266,0.0]"
diabetes,training,74,No Diabetes,insulin | age,insulin | age,1,2,insulin | age,,,2,1,"[0.05193338750090343,-0.018694908191112844,0.08066938916092226,0.0718394219961994,0.09373997304065645]","[0.05193338750090343,-0.018694908191112844,0.08066938916092226,0.0718394219961994,0.09373997304065645]","[0.0,0.0,0.13320833981391725,0.0,0.14627892369365145]"
diabetes,training,60,Diabetes,bmi | age,bmi | age,1,2,bmi | age,,,2,1,"[-0.042152882268250286,-0.14844987645815388,-0.10279316306736702,-0.1643901089405019,-0.25530455319138934]","[-0.042152882268250286,-0.14844987645815388,-0.10279316306736702,-0.1643901089405019,-0.25530455319138934]","[0.0,0.0,0.0,-0.3110880698373875,-0.40200251408827486]"
diabetes,testing,32,Diabetes,glucose | insulin,glucose | insulin,1,2,glucose | insulin,,,2,1,"[-0.33388113735226344,-0.013540976776690083,-0.2959895273656261,-0.09659417612011528,0.04014149393071431]","[-0.33388113735226344,-0.013540976776690083,-0.2959895273656261,-0.09659417612011528,0.04014149393071431]","[-0.3688779668353087,0.0,-0.33098635684867184,0.0,0.0]"
diabetes,testing,30,Diabetes,blood_pressure | insulin,blood_pressure | insulin,1,2,blood_pressure | insulin,,,2,1,"[0.03409753237041546,-0.42348272219157446,-0.3437227437579581,-0.08457045160349924,0.09716662235618767]","[0.03409753237041546,-0.42348272219157446,-0.3437227437579581,-0.08457045160349924,0.09716662235618767]","[0.0,-0.4001358706300225,-0.3203758921964062,0.0,0.0]"
diabetes,testing,14,Diabetes,glucose | insulin,glucose | insulin,1,2,glucose | insulin,,,2,1,"[-0.4342812090254376,0.04249779268321113,-0.1193730180602981,-0.10268522710870642,-0.10497118167262232]","[-0.4342812090254376,0.04249779268321113,-0.1193730180602981,-0.10268522710870642,-0.10497118167262232]","[-0.5168605170744963,0.0,-0.20195232610935698,0.0,0.0]"
diabetes,testing,53,Diabetes,glucose | insulin,glucose | insulin,1,2,glucose | insulin,,,2,1,"[-0.3585062207402153,0.0024106427899459604,-0.13531610661437116,-0.1286484357135958,-0.10045060994004118]","[-0.3585062207402153,0.0024106427899459604,-0.13531610661437116,-0.1286484357135958,-0.10045060994004118]","[-0.4718504221720608,0.0,-0.2486603080462167,0.0,0.0]"
diabetes,testing,35,Diabetes,glucose | insulin,glucose | insulin,1,2,glucose | insulin,,,2,1,"[-0.15021543913701707,-0.05965519784022666,-0.3972893717653995,-0.054219731252330816,-0.05913202311148835]","[-0.15021543913701707,-0.05965519784022666,-0.3972893717653995,-0.054219731252330816,-0.05913202311148835]","[-0.23671891523903993,0.0,-0.48379284786742244,0.0,0.0]"
