participant,domain,xai,first training block,phase,original label,target label,trial number,instance id,training response,training correct (0/1),participant training accuracy,response time (seconds),log(time),participant median time,attribute values before and after,explanation,sparsity,dist user CF from orig,user CF label,successful CF,distance to closest minimal counterfactual,confidence for target label original,confidence for target label user CF,delta confidence of target label,user CF increase target label confidence?,x_1_train_change,x_2_train_change,x_3_train_change,x_4_train_change,x_5_train_change,attribute changed,amount changed,delta confidence/change amount,confidence of counterfactual - 50%,close to boundary old,distance to boundary,CRT-2 score (0-4),successful counterfactual (continuous),actionability (0/1),patient can change - Blood Pressure,patient can change - Insulin,patient can change - BMI,patient can change - Age,plausibility,abs dist original to boundary,abs dist user CF to boundary,sign dist user CF to boundary,boundary dist change (user - original),plausibility (subset),participant level correct direction change,% x4_changed > 50,cognitive model v0.1 family,explanation reliance (η),global relevance reliance (α),additive change margin (ρ),exemplar locality (λ),remembered-change reliance (β),age treated as actionable (0/1),mean participant CF dist to orig,Norm(proximity),changed in training cf direction,dist to nearest training instance (L1 normalized),cognitive model v0.2 revision,cognitive model v0.2 family,cognitive model v0.2 representation,cognitive model v0.2 scope,cognitive model v0.2 global feature lapse,cognitive model v0.2 memory decay,cognitive model v0.2 exemplar distance sensitivity,cognitive model v0.2 selection spread,cognitive model v0.2 counterfactual edit blend,cognitive model v0.2 age actionable (0/1),cognitive model v0.2 edit margin,cognitive model v0.2 CV subset NLL,cognitive model v0.2 CV expected selection F1,cognitive model v0.2 CV MAP selection F1,cognitive model v0.2 CV exact-subset accuracy,cognitive model v0.2 CV cardinality MAE,cognitive model v0.2 CV conditional amount MAE,cognitive model v0.2 CV conditional direction accuracy,case,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,No Diabetes,,11,130110,No Diabetes,1,0.833333333333,13.424,2.59704414972,11.095,"""Glucose"" - 128(0.45519469478)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 182(0.301080590613)
""BMI"" - 43.3(0.804298960382)
""Age"" - 31(0.27027027027)","""BMI"" - -86% toward Diabetes
""Glucose"" - -14% toward Diabetes",,,,,,,,,,0,0.152173913043,0.164975666089,0,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,No Diabetes,,12,130111,No Diabetes,1,0.833333333333,11.864,2.47350860484,11.095,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 171(0.278396436526)
""BMI"" - 34.2(0.48468670975)
""Age"" - 33(0.324324324324)","""Glucose"" - -93% toward Diabetes
""Age"" - +7% toward No Diabetes",,,,,,,,,,0,0.152173913043,0.154664686959,0,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,1,130200,,,0.833333333333,5.177,1.64422573792,11.095,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 100(0.131980532871)
""BMI"" - 30.9(0.368783366114)
""Age"" - 45(0.648648648649) -> 21(0)",,0.8,0.648648648649,No Diabetes,1,0.799932014763,0.411767516955,0.6701616121,0.258394095145,1,,,,,,Age,-0.648648648649,0.398357563348,0.1701616121,0,far from boundary,0,1,0,10,10,10,1,0.916621001673,0.118676458828,0.425551477665,0.425551477665,0.306875018837,0.881944155123,1,1,,,,,,,,0.667246728887,0.647184449243,,0.414316980442,,,,,,,,,,,,,,,,,,,1,0,0,0,0,-0.648648648649
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,2,130201,,,0.833333333333,2.717,0.999528330444,11.095,"""Glucose"" - 149(0.633735759225)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 127(0.187659820177)
""BMI"" - 29.3(0.312587805563)
""Age"" - 42(0.567567567568) -> 21(0)",,0.8,0.567567567568,No Diabetes,1,0.667655373131,0.483539690781,0.706387573931,0.22284788315,1,,,,,,Age,-0.567567567568,0.392636746502,0.206387573931,1,near boundary,0,1,0,10,10,10,1,0.939324081641,0.0323992776757,0.525468944211,0.525468944211,0.493069666536,0.873158924413,1,1,,,,,,,,0.667246728887,0.565765475992,,0.336908080638,,,,,,,,,,,,,,,,,,,2,0,0,0,0,-0.567567567568
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,3,130202,,,0.833333333333,8.179,2.10156989375,11.095,"""Glucose"" - 144(0.591225981976)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 228(0.395941598614)
""BMI"" - 33.9(0.474150042147) -> 20.4(0)
""Age"" - 40(0.513513513514)",,0.8,0.474150042147,No Diabetes,1,0.3625,0.4679117222,0.660281869145,0.192370146946,1,,,,,,BMI,-0.474150042147,0.405715764729,0.160281869145,0,far from boundary,0,1,1,10,10,10,1,0.90516999157,0.0764467974998,0.246290317108,0.246290317108,0.169843519608,0.848144626781,1,1,,,,,,,,0.667246728887,0.471958648282,1,0.467762395737,,,,,,,,,,,,,,,,,,,3,0,0,0,-0.474150042147,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,4,130203,,,0.833333333333,2.738,1.00722772687,11.095,"""Glucose"" - 158(0.710253358272)
""Blood Pressure"" - 84(0.782608695652)
""Insulin"" - 210(0.358822073744)
""BMI"" - 39.4(0.66732228154) -> 20.4(0)
""Age"" - 29(0.216216216216)",,0.8,0.66732228154,No Diabetes,1,0.5575,0.463741061238,0.62769620957,0.163955148332,1,,,,,,BMI,-0.66732228154,0.245691104385,0.12769620957,0,far from boundary,0,1,1,10,10,10,1,0.866702830345,0.0867721396761,0.394070575027,0.394070575027,0.307298435351,0.866702830345,1,1,,,,,,,,0.667246728887,0.665935901451,1,0.547070282104,,,,,,,,,,,,,,,,,,,4,0,0,0,-0.66732228154,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,5,130204,,,0.833333333333,1.996,0.691145177889,11.095,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 193(0.3237647447)
""BMI"" - 29.3(0.312587805563)
""Age"" - 39(0.486486486486) -> 21(0)",,0.8,0.486486486486,No Diabetes,1,0.58657429205,0.492607340351,0.654587840926,0.161980500575,1,,,,,,Age,-0.486486486486,0.332959917849,0.154587840926,1,near boundary,0,1,0,10,10,10,1,0.933685532455,0.0165789274235,0.459004828801,0.459004828801,0.442425901378,0.909061885378,1,1,,,,,,,,0.667246728887,0.484346502739,,0.305943885962,,,,,,,,,,,,,,,,,,,5,0,0,0,0,-0.486486486486
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,6,130205,,,0.833333333333,2.958,1.08451336429,11.095,"""Glucose"" - 181(0.905798333617)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 293(0.529984327312)
""BMI"" - 40(0.688395616746) -> 20(0)
""Age"" - 22(0.027027027027)",,0.8,0.688395616746,No Diabetes,1,0.5225,0.44484721091,0.559829454527,0.114982243617,1,,,,,,BMI,-0.688395616746,0.167029308177,0.059829454527,0,far from boundary,0,1,1,10,10,10,1,0.834210836498,0.132294051113,0.267661362324,0.267661362324,0.13536731121,0.821292055623,1,1,,,,,,,,0.667246728887,0.687097056342,1,0.722733439714,,,,,,,,,,,,,,,,,,,6,0,0,0,-0.688395616746,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,7,130206,,,0.833333333333,1.792,0.583332314553,11.095,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 272(0.486678214963)
""BMI"" - 41.5(0.741078954763) -> 20.4(0)
""Age"" - 27(0.162162162162)",,0.8,0.741078954763,No Diabetes,1,0.64,0.477129570752,0.60112271631,0.123993145558,1,,,,,,BMI,-0.741078954763,0.167314352622,0.10112271631,0,far from boundary,0,1,1,10,10,10,1,0.868495649301,0.054673871648,0.351983654219,0.351983654219,0.297309782571,0.868495649301,1,1,,,,,,,,0.667246728887,0.739999943571,1,0.58746777733,,,,,,,,,,,,,,,,,,,7,0,0,0,-0.741078954763,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,8,130207,,,0.833333333333,1.828,0.603222473032,11.095,"""Glucose"" - 157(0.701751402823)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 440(0.833127113751)
""BMI"" - 39.4(0.66732228154) -> 20.4(0)
""Age"" - 30(0.243243243243)",,0.8,0.66732228154,No Diabetes,1,0.495,0.4427041147,0.528945927624,0.0862418129234,1,,,,,,BMI,-0.66732228154,0.129235626187,0.028945927624,0,far from boundary,0,1,1,10,10,10,1,0.872118072516,0.137479314236,0.162379411031,0.162379411031,0.0249000967944,0.819693723936,1,1,,,,,,,,0.667246728887,0.665935901451,1,0.532055537055,,,,,,,,,,,,,,,,,,,8,0,0,0,-0.66732228154,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,9,130208,,,0.833333333333,2.328,0.845009529869,11.095,"""Glucose"" - 111(0.310661452134)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 207(0.352635486266)
""BMI"" - 37.1(0.586541163248)
""Age"" - 56(0.945945945946) -> 21(0)",,0.8,0.945945945946,No Diabetes,1,1.19998710919,0.378484007523,0.713007383947,0.334523376424,1,,,,,,Age,-0.945945945946,0.353638997934,0.213007383947,0,far from boundary,0,1,0,10,10,10,1,0.944926371481,0.187566199816,0.595851669721,0.595851669721,0.408285469906,0.837089802338,1,1,,,,,,,,0.667246728887,0.945720684499,,0.733491424334,,,,,,,,,,,,,,,,,,,9,0,0,0,0,-0.945945945946
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,Diabetes,No Diabetes,10,130209,,,0.833333333333,16.315,2.79208493005,11.095,"""Glucose"" - 122(0.404182962081)
""Blood Pressure"" - 90(0.913043478261)
""Insulin"" - 220(0.379444032005)
""BMI"" - 49.7(1) -> 20.4(0)
""Age"" - 31(0.27027027027)",,0.8,1,No Diabetes,1,0.9,0.475402330642,0.785330546336,0.309928215694,1,,,,,,BMI,-1,0.309928215694,0.285330546336,0,far from boundary,0,1,1,10,10,10,1,0.856275884654,0.0585422796506,0.509601140074,0.509601140074,0.451058860423,0.772715375427,1,1,,,,,,,,0.667246728887,1,1,0.615026981511,,,,,,,,,,,,,,,,,,,10,0,0,0,-1,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,11,130300,,,0.833333333333,2.234,0.803793700647,11.095,"""Glucose"" - 188(0.965312021765)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 185(0.307267178091)
""BMI"" - 32(0.407417813993) -> 49(1)
""Age"" - 22(0.027027027027)",,0.8,0.592582186007,Diabetes,1,0.4925,0.47914363584,0.636610004907,0.157466369068,1,,,,,,BMI,0.592582186007,0.265729164302,0.136610004907,0,far from boundary,0,1,1,10,10,10,1,0.891335915098,0.0510070332363,0.423982902611,0.423982902611,0.372975869375,0.791559056187,1,1,,,,,,,,0.667246728887,0.59088433877,1,0.685436247968,,,,,,,,,,,,,,,,,,,11,0,0,0,0.592582186007,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,12,130301,,,0.833333333333,1.894,0.638690994764,11.095,"""Glucose"" - 169(0.80377486822)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 125(0.183535428524)
""BMI"" - 29.9(0.33366114077) -> 48.58728(0.99)
""Age"" - 31(0.27027027027)",,0.8,0.65633885923,Diabetes,1,0.555,0.471507571159,0.642337449628,0.170829878469,1,,,,,,BMI,0.65633885923,0.260276953081,0.142337449628,0,far from boundary,0,1,1,10,10,10,1,0.934658198633,0.0681400565705,0.422675084275,0.422675084275,0.354535027704,0.852243420623,1,1,,,,,,,,0.667246728887,0.654906707522,1,0.384403066086,,,,,,,,,,,,,,,,,,,12,0,0,0,0.65633885923,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,13,130302,,,0.833333333333,2.724,1.00210138829,11.095,"""Glucose"" - 144(0.591225981976)
""Blood Pressure"" - 58(0.217391304348)
""Insulin"" - 140(0.214468365916)
""BMI"" - 29.5(0.319612250632) -> 48.58728(0.99)
""Age"" - 37(0.432432432432)",,0.8,0.670387749368,Diabetes,1,0.555,0.457524313708,0.641536114309,0.184011800601,1,,,,,,BMI,0.670387749368,0.274485625333,0.141536114309,0,far from boundary,0,1,1,10,10,10,1,0.872903986316,0.0899558203792,0.439361992481,0.439361992481,0.349406172102,0.808725583497,1,1,,,,,,,,0.667246728887,0.669014144116,1,0.48145812777,,,,,,,,,,,,,,,,,,,13,0,0,0,0.670387749368,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,14,130303,,,0.833333333333,4.471,1.49761209725,11.095,"""Glucose"" - 136(0.523210338378)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 135(0.204157386785)
""BMI"" - 26(0.196684461928) -> 49(1)
""Age"" - 51(0.810810810811)",,0.8,0.803315538072,Diabetes,1,0.7025,0.461206551844,0.688069578415,0.226863026571,1,,,,,,BMI,0.803315538072,0.282408363612,0.188069578415,0,far from boundary,0,1,1,10,10,10,1,0.859112068217,0.0439971594513,0.628415113622,0.628415113622,0.584417954171,0.878139329352,1,1,,,,,,,,0.667246728887,0.802495887682,1,0.744584334929,,,,,,,,,,,,,,,,,,,14,0,0,0,0.803315538072,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,15,130304,,,0.833333333333,9.094,2.2076148554,11.095,"""Glucose"" - 147(0.616731848325)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 293(0.529984327312)
""BMI"" - 34.9(0.509272267491) -> 48.58728(0.99)
""Age"" - 30(0.243243243243)",,0.8,0.480727732509,Diabetes,1,0.3475,0.456284584367,0.587230921592,0.130946337225,1,,,,,,BMI,0.480727732509,0.272391893311,0.087230921592,0,far from boundary,0,1,1,10,10,10,1,0.9185752377,0.104700083858,0.270672481588,0.270672481588,0.16597239773,0.861974904274,1,1,,,,,,,,0.667246728887,0.478563750095,1,0.40594256816,,,,,,,,,,,,,,,,,,,15,0,0,0,0.480727732509,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,16,130305,,,0.833333333333,1.725,0.545227050483,11.095,"""Glucose"" - 123(0.412684917531)
""Blood Pressure"" - 100(1)
""Insulin"" - 240(0.420687948528)
""BMI"" - 57.3(1)
""Age"" - 22(0.027027027027) -> 58(1)",,0.8,0.972972972973,Diabetes,1,1.09978502445,0.498825750363,0.775584891425,0.276759141062,1,,,,,,Age,0.972972972973,0.28444689498,0.275584891425,1,near boundary,0,1,0,10,10,10,1,0.872370732782,0.0975567477394,0.678288390756,0.678288390756,0.580731643016,0.796691029596,1,1,,,,,,,,0.667246728887,0.972860342249,,1.37533240279,,,,,,,,,,,,,,,,,,,16,0,0,0,0,0.972972972973
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,17,130306,,,0.833333333333,2.302,0.8337783103,11.095,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 86(0.826086956522)
""Insulin"" - 105(0.142291512002)
""BMI"" - 39.1(0.656785613936) -> 48.58728(0.99)
""Age"" - 42(0.567567567568)",,0.8,0.333214386064,Diabetes,1,0.2325,0.47579270031,0.573989420826,0.0981967205162,1,,,,,,BMI,0.333214386064,0.29469532116,0.073989420826,0,far from boundary,0,1,1,10,10,10,1,0.888321393829,0.0253928635876,0.216683638263,0.216683638263,0.191290774676,0.873655022349,1,1,,,,,,,,0.667246728887,0.330435665857,1,0.385900724535,,,,,,,,,,,,,,,,,,,17,0,0,0,0.333214386064,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,18,130307,,,0.833333333333,2.574,0.945461109174,11.095,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 184(0.305204982265)
""BMI"" - 36.6(0.568980050576) -> 48.58728(0.99)
""Age"" - 46(0.675675675676)",,0.8,0.421019949424,Diabetes,1,0.2925,0.410097907251,0.561845998305,0.151748091054,1,,,,,,BMI,0.421019949424,0.360429692849,0.061845998305,0,far from boundary,0,1,1,10,10,10,1,0.915796010115,0.0898788564425,0.18481426149,0.18481426149,0.0949354050471,0.888298130606,1,1,,,,,,,,0.667246728887,0.41860714457,1,0.462428756509,,,,,,,,,,,,,,,,,,,18,0,0,0,0.421019949424,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,19,130308,,,0.833333333333,2.29,0.828551817566,11.095,"""Glucose"" - 133(0.497704472029)
""Blood Pressure"" - 102(1)
""Insulin"" - 140(0.214468365916)
""BMI"" - 32.8(0.435515594268) -> 48.58728(0.99)
""Age"" - 45(0.648648648649)",,0.8,0.554484405732,Diabetes,1,0.4525,0.466495820489,0.658866121029,0.192370300539,1,,,,,,BMI,0.554484405732,0.346935456706,0.158866121029,0,far from boundary,0,1,1,10,10,10,1,0.889103118853,0.0133659365246,0.435873078344,0.435873078344,0.422507141819,0.852520089752,1,1,,,,,,,,0.667246728887,0.552627792214,1,0.907385798703,,,,,,,,,,,,,,,,,,,19,0,0,0,0.554484405732,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,testing,No Diabetes,Diabetes,20,130309,,,0.833333333333,3.022,1.10591886385,11.095,"""Glucose"" - 143(0.582724026526)
""Blood Pressure"" - 84(0.782608695652)
""Insulin"" - 310(0.565041656356)
""BMI"" - 42.4(0.772688957572)
""Age"" - 22(0.027027027027) -> 58(1)",,0.8,0.972972972973,Diabetes,1,1.1177840154,0.481679327756,0.761799532461,0.280120204705,1,,,,,,Age,0.972972972973,0.287901321502,0.261799532461,1,near boundary,0,1,0,10,10,10,1,0.957538362858,0.102945766638,0.752559424156,0.752559424156,0.649613657518,0.822752935587,1,1,,,,,,,,0.667246728887,0.972860342249,,0.579629117584,,,,,,,,,,,,,,,,,,,20,0,0,0,0,0.972972972973
R_7fkaVj6Cj5a5aHy,diabetes,none,Blood Pressure + Insulin,training,Diabetes,,1,130100,Diabetes,1,0.833333333333,13.832,2.62698474838,18.065,"""Glucose"" - 145(0.599727937426)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 130(0.193846407655)
""BMI"" - 37.9(0.614638943523)
""Age"" - 40(0.513513513514)",,,,,,,,,,,-0.153035198096,0,0,-0.165074459118,0,,,,,,,0,,,8,6,8,1,,,,,,,0.9,0,,,,,,,,0.285496418226,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0
