phase,instance id,cluster,original label,counterfactual changed features,normalized L1,actionability-weighted L1,target-class 3NN Gower,smallest normalized changed amount,objective,target probability,nearest training profile distance,copied training feature,copied raw delta,copied boundary progress,copied edit crosses boundary,source
testing,180204,1,Diabetes,BMI,0.1000878055633602,0.08507463472885617,0.10237946236727462,0.1000878055633602,0.12090744655740228,0.5241994464066079,0.09800827909441912,bmi,-4.399999999999999,4.71748818224232,1,test:39
testing,180205,2,Diabetes,BMI,0.2540411632481028,0.21593498876088735,0.11544568615276692,0.2540411632481028,0.25634097891435575,0.5017116421228945,0.1466982848667625,insulin,-75.0,0.06743912923664294,0,train:17
testing,180206,2,Diabetes,BMI,0.12908120258499475,0.10971902219724554,0.08466615216506566,0.12908120258499475,0.13935217545501852,0.5000430112655834,0.17922964663445146,insulin,-75.0,0.1743173209737335,0,train:44
testing,180207,2,Diabetes,BMI,0.1658956167462763,0.14101127423433485,0.13413950535889302,0.1658956167462763,0.1879601011099474,0.5001499335411007,0.14454668794274103,insulin,-74.0,0.11633450457214754,0,dev:36
testing,180208,2,Diabetes,BMI,0.10107895476257274,0.08591711154818682,0.08859710370417989,0.10107895476257274,0.11692609784464977,0.5109446808170285,0.11749355546605429,insulin,-77.0,0.2946538143866245,0,dev:38
testing,180209,2,Diabetes,BMI,0.17232228153975762,0.146473939308794,0.10965719299833847,0.17232228153975762,0.18485395685821246,0.5001305008857596,0.10641110741094106,insulin,-77.0,0.11642224440617553,0,dev:55
testing,180300,1,No Diabetes,BMI,0.11538774936780025,0.09807958696263021,0.0937631401375675,0.11538774936780025,0.13089668601077883,0.5005447389679327,0.0962916255539332,bmi,4.300000000000001,1.3263009864166104,1,train:47
testing,180301,1,No Diabetes,BMI,0.1008155380724925,0.08569320736161862,0.08339183028724383,0.1008155380724925,0.11488034796215396,0.5317306138782054,0.1559198788205589,bmi,4.300000000000001,2.715748384908624,1,train:134
testing,180302,1,No Diabetes,BMI,0.13322773250913247,0.11324357263276259,0.10084206674961023,0.13322773250913247,0.14853829599512616,0.5007662471011773,0.0811885136320621,bmi,4.5,1.2075626418704932,1,train:180
testing,180303,1,No Diabetes,BMI,0.10008218600730595,0.08506985810621005,0.11648203599045956,0.10008218600730595,0.1258385707028709,0.5126280341938122,0.13708724959361573,bmi,4.5,2.5338134733848268,1,dev:32
testing,180304,1,No Diabetes,BMI,0.10133885923012119,0.08613803034560301,0.062491113764858705,0.10133885923012119,0.10800992016330355,0.5053962835751624,0.0768806132172043,bmi,4.300000000000001,1.7725993579854684,1,test:26
testing,180305,2,No Diabetes,BMI,0.12851994942399625,0.10924195701039681,0.07897650175673074,0.12851994942399625,0.13688373262525255,0.5015877026167463,0.12633317141234252,insulin,76.0,0.7937488446369835,0,train:146
testing,180306,2,No Diabetes,BMI,0.10198440573194781,0.08668674487215564,0.056480543642774515,0.10198440573194781,0.10645493514712671,0.5338115128409724,0.14669455104487153,insulin,76.0,1.3851618259179577,1,train:183
testing,180307,2,No Diabetes,BMI,0.1448110424276491,0.12308938606350174,0.13618973316671862,0.1448110424276491,0.17075579267185326,0.500428230903704,0.15935568523016413,insulin,80.0,1.4017739476326228,1,train:208
testing,180308,2,No Diabetes,Insulin,0.1268120514724086,0.13949325661964945,0.11330780435773391,0.1268120514724086,0.1791509881448563,0.5000764682489983,0.18977750099622215,insulin,80.0,4.897142390759041,1,test:16
testing,180309,2,No Diabetes,BMI,0.10071438606350179,0.08560722815397652,0.12111206525546162,0.10071438606350179,0.12799645099338808,0.5303635165477303,0.10958886019426943,insulin,76.0,2.2095119248734774,1,test:40
