participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,explanation,sparsity,proximity,counterfactual label,successful counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1),move towards target (0/1),x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,delta confidence/change amount,close to boundary old,distance to boundary,confidence of counterfactual - 50%,reasoning strategy,participant training accuracy,CRT-2 score (0-4),successful counterfactual (continuous),log(time),actionability (0/1),plausibility,boundary distance original,boundary distance new,boundary distance change (new - original),best forward mental model,forward mental model fit conclusion,CRT binarized,attribute selection method,attribute selection ranking score,change amount method,change amount normalized MAE,best-supported attribute selection method,strategy: xai,plausibility (subset)
R_6upJU84Jtf3Faf5,diabetes,none,training,Diabetes,,11,160107,6.995,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 184(0.305204982265)
""BMI"" - 36.6(0.568980050576)
""Age"" - 46(0.675675675676)",,,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_6upJU84Jtf3Faf5,diabetes,none,training,No Diabetes,,12,160111,6.477,"""Glucose"" - 103(0.242645808536)
""Blood Pressure"" - 30(0)
""Insulin"" - 83(0.0969232038274)
""BMI"" - 43.3(0.804298960382)
""Age"" - 33(0.324324324324)",,,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,1,160212,27.859,"""Glucose"" - 111(0.310661452134)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 207(0.352635486266)
""BMI"" - 37.1(0.586541163248) -> 33.2124(0.45)
""Age"" - 56(0.945945945946) -> 47(0.702702702703)",,0.6,0.379784406491,Diabetes,0,0.5797802821,0.0145223683682,0.0011643692721,-0.0133579990961,,,0,0,0,0,-0.136541163248,-0.243243243243,0,0,0,1,1,-0.0351725844131,0,far from boundary,0.498835630728,,0.916666666667,3,0,,0,0.924043118702,0.0372518432215,0.103328703901,0.0660768606793,,,1,,,,,,,0.916521225168
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,2,160201,12.403,"""Glucose"" - 187(0.956810066315) -> 149(0.633735759225)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 200(0.338200115483)
""BMI"" - 36.4(0.561955605507) -> 31.7888(0.4)
""Age"" - 36(0.405405405405)",,0.6,0.485029912598,Diabetes,0,0.762378753644,1.00978194599e-05,0.484209526029,0.48419942821,,,1,-0.323074307091,0,0,-0.161955605507,0,1,0,0,1,0,0.998287766658,0,far from boundary,0.015790473971,,0.916666666667,3,0,,1,0.937521010942,0.281142117469,0.00125346619942,-0.279888651269,,,1,,,,,,,0.911281417445
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,3,160211,14.927,"""Glucose"" - 145(0.599727937426) -> 119(0.378677095732)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 130(0.193846407655)
""BMI"" - 37.9(0.614638943523) -> 29.79576(0.33)
""Age"" - 40(0.513513513514) -> 36(0.405405405405)",,0.4,0.613797893325,Diabetes,0,0.613814897236,0.0173759567743,0.105499899872,0.0881239430978,,,1,-0.221050841694,0,0,-0.284638943523,-0.108108108108,1,0,0,1,1,0.143571595889,0,far from boundary,0.394500100128,,0.916666666667,3,0,,0,0.947931860431,0.0747170723186,0.0631694019552,-0.0115476703633,,,1,,,,,,,0.882917485141
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,4,160214,15.143,"""Glucose"" - 104(0.251147763986)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 156(0.247463499134)
""BMI"" - 29.9(0.33366114077)
""Age"" - 41(0.540540540541) -> 32(0.297297297297)",,0.8,0.243243243243,Diabetes,0,0.443337461083,0.00403975635919,0.124281712348,0.120241955989,,,1,0,0,0,0,-0.243243243243,0,0,0,0,1,0.494328041289,0,far from boundary,0.375718287652,,0.916666666667,3,0,,0,0.951351351351,0.0501717968156,0.0472125767348,-0.00295922008077,,,1,,,,,,,0.90074462758
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,5,160210,8.829,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 215(0.369133052875)
""BMI"" - 39.4(0.66732228154) -> 29.79576(0.33)
""Age"" - 43(0.594594594595)",,0.8,0.33732228154,Diabetes,0,0.537318157148,0.00206481615935,7.24799341694e-05,-0.00199233622519,,,0,0,0,0,-0.33732228154,0,0,0,0,1,0,-0.00590632855942,0,far from boundary,0.499927520066,,0.916666666667,3,0,,1,0.957321485927,0.0664632820126,0.117056839877,0.0505935578648,,,1,,,,,,,0.905810855199
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,6,160202,11.298,"""Glucose"" - 125(0.429688828431) -> 111(0.310661452134)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 115(0.162913470263)
""BMI"" - 31.1(0.375807811183)
""Age"" - 41(0.540540540541) -> 35(0.378378378378)",,0.6,0.281189538459,Diabetes,0,0.281202417978,0.0226086726886,0.309320407529,0.28671173484,,,1,-0.119027376297,0,0,0,-0.162162162162,1,0,0,0,1,1.01963869784,0,far from boundary,0.190679592471,,0.916666666667,3,0,,0,0.957494868363,0.0569726484831,0.0160462157241,-0.040926432759,,,1,,,,,,,0.89722327932
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,7,160213,13.85,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 88(0.869565217391) -> 66(0.391304347826)
""Insulin"" - 145(0.224779345047)
""BMI"" - 34.5(0.495223377353)
""Age"" - 40(0.513513513514)",,0.8,0.478260869565,No Diabetes,1,0.478256745174,0.00760236055804,0.999272587936,0.991670227378,,,1,0,-0.478260869565,0,0,0,0,1,0,0,0,2.07349229361,0,far from boundary,0.499272587936,,0.916666666667,3,1,,1,0.94153772859,0.0929170929375,0.129406370734,0.0364892777965,,,1,,,,,,,0.882130002805
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,8,160204,10.383,"""Glucose"" - 125(0.429688828431)
""Blood Pressure"" - 70(0.478260869565) -> 65(0.369565217391)
""Insulin"" - 122(0.177348841046)
""BMI"" - 28.9(0.298538915426)
""Age"" - 45(0.648648648649) -> 33(0.324324324324)",,0.6,0.433019976498,No Diabetes,1,0.632998848196,0.0314886929294,0.886438731666,0.854950038737,,,1,0,-0.108695652174,0,0,-0.324324324324,0,1,0,0,1,1.97438937033,0,far from boundary,0.386438731666,,0.916666666667,3,1,,0,0.972999348428,0.0395820491408,0.106326221087,0.0667441719461,,,1,,,,,,,0.892626513078
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,9,160200,26.37,"""Glucose"" - 154(0.676245536473) -> 113(0.327665363033)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 126(0.18559762435)
""BMI"" - 31.3(0.382832256252)
""Age"" - 37(0.432432432432)",,0.8,0.34858017344,Diabetes,0,0.422510220829,0.011786029432,0.0621305496924,0.0503445202604,,,1,-0.34858017344,0,0,0,0,1,0,0,0,0,0.144427377391,0,far from boundary,0.437869450308,,0.916666666667,3,0,,1,0.950267524989,0.0980127823706,0.0660798105473,-0.0319329718233,,,1,,,,,,,0.914188804653
R_6upJU84Jtf3Faf5,diabetes,none,testing,Diabetes,No Diabetes,10,160203,10.629,"""Glucose"" - 161(0.735759224622) -> 144(0.591225981976)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 132(0.197970799307)
""BMI"" - 25.5(0.179123349255)
""Age"" - 47(0.702702702703) -> 38(0.459459459459)",,0.6,0.387776485889,No Diabetes,1,0.387891832031,0.0154053958182,0.960260246391,0.944854850573,,,1,-0.144533242646,0,0,0,-0.243243243243,1,0,0,0,1,2.43659655744,0,far from boundary,0.460260246391,,0.916666666667,3,1,,0,0.922444702822,0.0605519329641,0.0958569637388,0.0353050307747,,,1,,,,,,,0.941121335841
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,11,160218,20.449,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 193(0.3237647447)
""BMI"" - 29.3(0.312587805563) -> 36.34432(0.56)
""Age"" - 39(0.486486486486)",,0.8,0.247412194437,Diabetes,1,0.247296848295,0.0239115963161,0.964431306149,0.940519709833,,,1,0,0,0,0.247412194437,0,0,0,0,1,0,3.80142826821,0,far from boundary,0.464431306149,,0.916666666667,3,1,,1,0.950517561112,0.0818222236912,0.0549419134142,-0.026880310277,,,1,,,,,,,0.884449627679
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,12,160207,5.089,"""Glucose"" - 89(0.123618432239) -> 104(0.251147763986)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 85(0.10104759548) -> 172(0.280458632352)
""BMI"" - 30.4(0.351222253442)
""Age"" - 38(0.459459459459)",,0.6,0.306940368618,Diabetes,1,0.0461060980922,3.06571688036e-06,0.999058682787,0.99905561707,,,1,0.127529331746,0,0.179411036872,0,0,1,0,1,0,0,3.25488505004,0,far from boundary,0.499058682787,,0.916666666667,3,1,,1,0.973672534606,0.204135275223,0.0942862579441,-0.109849017279,,,1,,,,,,,0.901444189213
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,13,160208,2.792,"""Glucose"" - 126(0.43819078388)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 75(0.0804256372185) -> 186(0.309329373917)
""BMI"" - 25.9(0.193172239393)
""Age"" - 39(0.486486486486)",,0.8,0.228903736699,No Diabetes,0,0.428985075019,0.0118459203727,0.0176651310882,0.00581921071554,,,1,0,0,0.228903736699,0,0,0,0,1,0,0,0.0254220870286,0,far from boundary,0.482334868912,,0.916666666667,3,0,,1,0.95421925266,0.0900870805017,0.0772097415611,-0.0128773389405,,,1,,,,,,,0.895965257497
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,14,160219,2.559,"""Glucose"" - 139(0.548716204727)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 140(0.214468365916)
""BMI"" - 28.6(0.288002247822)
""Age"" - 26(0.135135135135) -> 34(0.351351351351)",,0.8,0.216216216216,No Diabetes,0,0.208206450339,0.051363697101,0.213499456733,0.162135759632,,,1,0,0,0,0,0.216216216216,0,0,0,0,1,0.749877888299,1,near boundary,0.286500543267,,0.916666666667,3,0,,0,0.956756756757,0.038863565943,0.0548470452796,0.0159834793366,,,1,,,,,,,0.912082720813
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,15,160209,3.633,"""Glucose"" - 83(0.0726066995409) -> 116(0.353171229383)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 71(0.072176853914) -> 148(0.230965932525)
""BMI"" - 29.3(0.312587805563)
""Age"" - 36(0.405405405405)",,0.6,0.439353608453,Diabetes,1,0.234198625232,4.04768338846e-06,0.873961860799,0.873957813116,,,1,0.280564529842,0,0.158789078611,0,0,1,0,1,0,0,1.98919001984,0,far from boundary,0.373961860799,,0.916666666667,3,1,,1,0.938076501073,0.215219871146,0.0764837036177,-0.138736167528,,,1,,,,,,,0.892772844499
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,16,160215,4.973,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 60(0.260869565217)
""Insulin"" - 106(0.144353707828) -> 172(0.280458632352)
""BMI"" - 33.8(0.470637819612)
""Age"" - 27(0.162162162162) -> 29(0.216216216216)",,0.6,0.190158978578,Diabetes,1,0.190146099058,0.077624123637,0.936557486965,0.858933363328,,,1,0,0,0.136104924524,0,0.0540540540541,0,0,1,0,1,4.51692247061,1,near boundary,0.436557486965,,0.916666666667,3,1,,0,0.962388007182,0.0606767911965,0.0636563530523,0.00297956185583,,,1,,,,,,,0.815794156902
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,17,160216,8.945,"""Glucose"" - 151(0.650739670124)
""Blood Pressure"" - 62(0.304347826087) -> 65(0.369565217391)
""Insulin"" - 120(0.173224449394)
""BMI"" - 35.5(0.530345602697)
""Age"" - 28(0.189189189189)",,0.8,0.0652173913043,No Diabetes,0,0.265311609144,0.0575860454833,0.287586589885,0.230000544402,,,1,0,0.0652173913043,0,0,0,0,1,0,0,0,3.52667501417,1,near boundary,0.212413410115,,0.916666666667,3,0,,1,0.986956521739,0.034821278767,0.0128396468842,-0.0219816318828,,,1,,,,,,,0.904371395629
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,18,160217,3.237,"""Glucose"" - 112(0.319163407584)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 94(0.119607357915) -> 186(0.309329373917)
""BMI"" - 34.1(0.481174487216)
""Age"" - 26(0.135135135135) -> 41(0.540540540541)",,0.6,0.595127421408,No Diabetes,0,0.587002309389,0.155856767991,0.32114021922,0.16528345123,,,1,0,0,0.189722016003,0,0.405405405405,0,0,1,0,1,0.277727836568,1,near boundary,0.17885978078,,0.916666666667,3,0,,0,0.946618523044,0.030760691058,0.00935963192728,-0.0214010591308,,,1,,,,,,,0.894731473593
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,19,160206,9.413,"""Glucose"" - 103(0.242645808536) -> 118(0.370175140282)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 82(0.0948610080013) -> 157(0.24952569496)
""BMI"" - 19.4(0) -> 23.81664(0.12)
""Age"" - 22(0.027027027027) -> 35(0.378378378378)",,0.2,0.753545370056,No Diabetes,0,0.960009613589,2.60449439793e-11,0.000195916964266,0.000195916938221,,,1,0.127529331746,0,0.154664686959,0.12,0.351351351351,1,0,1,1,1,0.000259993553151,0,far from boundary,0.499804083036,,0.916666666667,3,0,,0,0.934683982139,0.558946397893,0.163376604351,-0.395569793542,,,1,,,,,,,0.910076613365
R_6upJU84Jtf3Faf5,diabetes,none,testing,No Diabetes,Diabetes,20,160205,6.422,"""Glucose"" - 100(0.217139942187) -> 113(0.327665363033)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 46(0.0206219582612) -> 162(0.259836674091)
""BMI"" - 19.5(0) -> 33.2124(0.45)
""Age"" - 28(0.189189189189) -> 39(0.486486486486)",,0.2,1.09703743397,Diabetes,1,1.1220706045,4.55950587885e-06,0.993860110009,0.993855550504,,,1,0.110525420847,0,0.239214715829,0.45,0.297297297297,1,0,1,1,1,0.905944974829,0,far from boundary,0.493860110009,,0.916666666667,3,1,,0,0.948143262542,0.284435118814,0.0761415838758,-0.208293534938,,,1,,,,,,,0.895574572986
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,No Diabetes,,1,160111,58.39,"""Glucose"" - 103(0.242645808536)
""Blood Pressure"" - 30(0)
""Insulin"" - 83(0.0969232038274)
""BMI"" - 43.3(0.804298960382)
""Age"" - 33(0.324324324324)","""Glucose"" - 103(0.242645808536)
""Blood Pressure"" - 30(0) -> 92(0.95652173913)
""Insulin"" - 83(0.0969232038274) -> 155(0.245401303308)
""BMI"" - 43.3(0.804298960382)
""Age"" - 33(0.324324324324)",,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,Diabetes,,2,160107,34.494,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 184(0.305204982265)
""BMI"" - 36.6(0.568980050576)
""Age"" - 46(0.675675675676)","""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 78(0.652173913043) -> 73.4(0.552173913043)
""Insulin"" - 184(0.305204982265) -> 135.51(0.205209106657)
""BMI"" - 36.6(0.568980050576)
""Age"" - 46(0.675675675676)",,,,,,,,,No Diabetes,0,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,Diabetes,,3,160106,38.282,"""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 200(0.338200115483)
""BMI"" - 38.9(0.649761168868)
""Age"" - 41(0.540540540541)","""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913) -> 75.4(0.595652173913)
""Insulin"" - 200(0.338200115483) -> 151.51(0.238204239875)
""BMI"" - 38.9(0.649761168868)
""Age"" - 41(0.540540540541)",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,Diabetes,,4,160108,26.974,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 180(0.296956198961)
""BMI"" - 35(0.512784490025)
""Age"" - 43(0.594594594595)","""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 82(0.739130434783) -> 77.4(0.639130434783)
""Insulin"" - 180(0.296956198961) -> 131.51(0.196960323352)
""BMI"" - 35(0.512784490025)
""Age"" - 43(0.594594594595)",,,,,,,,,No Diabetes,0,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,No Diabetes,,5,160109,5.513,"""Glucose"" - 191(0.990817888114)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 130(0.193846407655)
""BMI"" - 30.9(0.368783366114)
""Age"" - 34(0.351351351351)","""Glucose"" - 191(0.990817888114)
""Blood Pressure"" - 68(0.434782608696) -> 72.6(0.534782608696)
""Insulin"" - 130(0.193846407655) -> 178.49(0.293842283263)
""BMI"" - 30.9(0.368783366114)
""Age"" - 34(0.351351351351)",,,,,,,,,Diabetes,0,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,No Diabetes,,6,160110,5.192,"""Glucose"" - 180(0.897296378167)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 70(0.0701146580879)
""BMI"" - 34(0.477662264681)
""Age"" - 26(0.135135135135)","""Glucose"" - 180(0.897296378167)
""Blood Pressure"" - 64(0.347826086957) -> 71(0.5)
""Insulin"" - 70(0.0701146580879) -> 118.49(0.170110533696)
""BMI"" - 34(0.477662264681)
""Age"" - 26(0.135135135135)",,,,,,,,,Diabetes,0,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,No Diabetes,,7,160104,8.224,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 73(0.0763012455663)
""BMI"" - 25.9(0.193172239393)
""Age"" - 36(0.405405405405)","""Glucose"" - 95(0.174630164938) -> 128(0.45519469478)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 73(0.0763012455663)
""BMI"" - 25.9(0.193172239393) -> 28.75(0.293270581624)
""Age"" - 36(0.405405405405)",,,,,,,,,Diabetes,0,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,Diabetes,,8,160100,5.229,"""Glucose"" - 186(0.948308110865)
""Blood Pressure"" - 90(0.913043478261)
""Insulin"" - 225(0.389755011136)
""BMI"" - 34.5(0.495223377353)
""Age"" - 37(0.432432432432)","""Glucose"" - 186(0.948308110865) -> 161(0.735759224622)
""Blood Pressure"" - 90(0.913043478261)
""Insulin"" - 225(0.389755011136)
""BMI"" - 34.5(0.495223377353) -> 30.2(0.344197808373)
""Age"" - 37(0.432432432432)",,,,,,,,,No Diabetes,0,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,No Diabetes,,9,160105,4.978,"""Glucose"" - 116(0.353171229383)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 87(0.105171987132)
""BMI"" - 22.1(0.0597077830851)
""Age"" - 37(0.432432432432)","""Glucose"" - 116(0.353171229383) -> 132(0.489202516579)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 87(0.105171987132)
""BMI"" - 22.1(0.0597077830851) -> 27.1(0.235318909806)
""Age"" - 37(0.432432432432)",,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,Diabetes,,10,160102,5.456,"""Glucose"" - 187(0.956810066315)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 304(0.552668481399)
""BMI"" - 37.7(0.607614498455)
""Age"" - 41(0.540540540541)","""Glucose"" - 187(0.956810066315) -> 150(0.642237714674)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 304(0.552668481399)
""BMI"" - 37.7(0.607614498455) -> 34.85(0.507516156224)
""Age"" - 41(0.540540540541)",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,No Diabetes,,11,160103,4.541,"""Glucose"" - 99(0.208637986737)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 64(0.0577414831312)
""BMI"" - 19.3(0)
""Age"" - 30(0.243243243243)","""Glucose"" - 99(0.208637986737) -> 111(0.310661452134)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 64(0.0577414831312)
""BMI"" - 19.3(0) -> 27.7(0.256392245013)
""Age"" - 30(0.243243243243)",,,,,,,,,Diabetes,0,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
R_5L0xQQar3o8Bvr3,diabetes,counterfactual,training,Diabetes,,12,160101,4.705,"""Glucose"" - 149(0.633735759225)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 127(0.187659820177)
""BMI"" - 29.3(0.312587805563)
""Age"" - 42(0.567567567568)","""Glucose"" - 149(0.633735759225) -> 137.24(0.533752763136)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 127(0.187659820177)
""BMI"" - 29.3(0.312587805563) -> 25.9(0.193172239393)
""Age"" - 42(0.567567567568)",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.416666666667,3,,,,,,,,,,1,,,,,,,
