xai,participant,mean_boundary,mean_orig_boundary,mean_improvement,success_rate,mean_proximity,mean_sparsity,move_toward_target_rate,mean_helpful_shap,mean_n_features_changed,Glucose_changed,Glucose_abs_change,Glucose_signed_change,Blood Pressure_changed,Blood Pressure_abs_change,Blood Pressure_signed_change,Insulin_changed,Insulin_abs_change,Insulin_signed_change,BMI_changed,BMI_abs_change,BMI_signed_change,Age_changed,Age_abs_change,Age_signed_change,within_condition_boundary_rank,PostTask_MentalModel,PostTask_StrategyExample,Q70_3_TEXT,Q73_6_TEXT,Q74_7_TEXT,all_comments
attribution,R_61hCu6g2tcWoJo7,0.120599381586175,0.12287754559834001,0.0022781640121649987,0.75,0.591116907958395,0.63,0.9,0.731874984523474,1.85,0.55,0.21637476619624998,0.11350110525415,0.2,0.04673913043475,-0.02065217391305,0.5,0.14796255052378998,0.08898374989691,0.6,0.180040460803615,-0.060157909525114996,0.0,0.0,0.0,11.0,"Looked mainly at Glucose, insulin and BMI",Wasn't always sure on how much to change,,,,"PostTask_MentalModel: Looked mainly at Glucose, insulin and BMI | PostTask_StrategyExample: Wasn't always sure on how much to change"
attribution,R_3P1hvuTtye32D8u,0.133311648224815,0.12287754559834001,-0.010434102626474998,0.55,0.47758983160115004,0.63,0.7,0.4582240048083996,1.85,0.6,0.156861078047965,-0.156861078047965,0.7,0.2010869565217,-0.2010869565217,0.1,0.008661222469695,-0.008661222469695,0.3,0.07314273672379999,-0.07314273672379999,0.15,0.0378378378378,-0.0378378378378,12.0,"The attributes that mattered the most were BMI and blood pressure becuase any high values for those would give a ""Diabetes"" result",I decided to change the attributes that were the highest within the range. I tried not to change Age because it's impossible to change your age.,,,,"PostTask_MentalModel: The attributes that mattered the most were BMI and blood pressure becuase any high values for those would give a ""Diabetes"" result | PostTask_StrategyExample: I decided to change the attributes that were the highest within the range. I tried not to change Age because it's impossible to change your age."
attribution,R_156Kmlz4ECsrHQR,0.1372344812685985,0.12287754559834001,-0.014356935670258497,0.45,0.5849339783501499,0.5700000000000001,0.7,0.35308532838869316,2.15,0.1,0.026781159666749998,0.026781159666749998,0.3,0.0641304347826,0.0641304347826,0.9,0.26952899447325,0.25406252577735,0.6,0.15692582186016,0.13219359370616,0.25,0.0675675675675,0.0405405405405,13.0,"It is highly probable that the AI used high values for Glucose and BMI to determine that the patient had a Diabetes diagnosis, whereas low values led to a No Diabetes diagnosis.",The features that were selected have been selected based on the impact of the features in the prediction. The new values have been set in a gradual manner either upward or downward beyond the threshold until the outcome was changed.,,,,"PostTask_MentalModel: It is highly probable that the AI used high values for Glucose and BMI to determine that the patient had a Diabetes diagnosis, whereas low values led to a No Diabetes diagnosis. | PostTask_StrategyExample: The features that were selected have been selected based on the impact of the features in the prediction. The new values have been set in a gradual manner either upward or downward beyond the threshold until the outcome was changed."
attribution,R_60Vourt3Kluat5u,0.14014930495598002,0.12287754559834001,-0.01727175935764,0.5,0.5925646133135001,0.5599999999999999,0.75,0.5453200377866747,2.2,0.45,0.161112055772765,-0.161112055772765,0.9,0.27065217391315,-0.27065217391315,0.1,0.0157757980698,-0.0157757980698,0.75,0.14502458555769498,-0.14502458555769498,0.0,0.0,0.0,14.0,"I think the AI used a combination of 2 or more attributes to determine risk when calculating for risk. Probably the most common is glucose, blood pressure, and BMI.",Depending on the combination of markers reducing BMI and blood pressure and glucose would lower the over all risk factors for diabetes in general so I applied this approach to the task markers.,,,,"PostTask_MentalModel: I think the AI used a combination of 2 or more attributes to determine risk when calculating for risk. Probably the most common is glucose, blood pressure, and BMI. | PostTask_StrategyExample: Depending on the combination of markers reducing BMI and blood pressure and glucose would lower the over all risk factors for diabetes in general so I applied this approach to the task markers."
attribution,R_3P5ccqI6lMcShWV,0.1428459461758333,0.12287754559834001,-0.019968400577493294,0.9,0.70698244924115,0.52,1.0,0.9208477675996243,2.4,0.7,0.241455534773,0.047610950518599995,0.75,0.22282608695647999,-0.061956521739179996,0.4,0.061556545409565,0.019487750556835,0.55,0.18114428210175,0.04909848271995,0.0,0.0,0.0,15.0,Honestly from what I could tell blood pressure glucose and BMI were the three biggest indicators whether or not the person had diabetes period to a lesser extent I do believe insulin was also a factor I am not really sure of the exact ranges that they needed to be it was kind of a bit of a guessing game for me but I do think it was those particular attributes that most likely decided again whether or not the patient had diabetes,Like I said it was a bit of a guessing game for me it was tough to tell exactly where it should be because there was a few times where I thought that it was fine and it turns out the person was warned about diabetes so it was a tough thing for me to Gage quite honestly it was a bit of a guessing game like I said and hopefully I did OK.,,,,PostTask_MentalModel: Honestly from what I could tell blood pressure glucose and BMI were the three biggest indicators whether or not the person had diabetes period to a lesser extent I do believe insulin was also a factor I am not really sure of the exact ranges that they needed to be it was kind of a bit of a guessing game for me but I do think it was those particular attributes that most likely decided again whether or not the patient had diabetes | PostTask_StrategyExample: Like I said it was a bit of a guessing game for me it was tough to tell exactly where it should be because there was a few times where I thought that it was fine and it turns out the person was warned about diabetes so it was a tough thing for me to Gage quite honestly it was a bit of a guessing game like I said and hopefully I did OK.
attribution,R_6DD4Hjc7DAhjrhU,0.154385546841725,0.12287754559834001,-0.031508001243385,0.7,0.66397018006665,0.6,0.8,0.6870170898376806,2.0,0.45,0.17386498894737498,-0.141557558238325,0.65,0.2260869565217,-0.1891304347826,0.7,0.19054689433299998,0.11878247958419999,0.2,0.0734713402641,-0.026471340264100002,0.0,0.0,0.0,16.0,"Glucose, Insulin, BP, and BMI mattered the most. I'm not sure about thresholds 100%, but I'm pretty certain that a Diabetes reading mostly came from glucose and BMI, while a no diabetes reading mostly came from insulin and BP. I think. ","I just adjusted them. I didn't really have an approach. If one (of the important categories) was too high, I would lower it. If one was too low to predict diabetes, I raised it. ",,,,"PostTask_MentalModel: Glucose, Insulin, BP, and BMI mattered the most. I'm not sure about thresholds 100%, but I'm pretty certain that a Diabetes reading mostly came from glucose and BMI, while a no diabetes reading mostly came from insulin and BP. I think. | PostTask_StrategyExample: I just adjusted them. I didn't really have an approach. If one (of the important categories) was too high, I would lower it. If one was too low to predict diabetes, I raised it."
counterfactual,R_1hF6UnZQsvvwBCX,0.0629738530502995,0.12287754559834001,0.059903692548040496,0.7,0.36217757311132004,0.54,0.9,0.5721902199872069,2.3,0.7,0.14198265601100252,-0.0391089950688975,0.65,0.09130434782607,-0.07173913043479,0.6,0.073414171409715,0.05320465231381501,0.35,0.055476397864565,-0.013793621803874997,0.0,0.0,0.0,1.0,I think mostly the glucose and blood pressure mattered,I just make sure the highest or lowest numbers go to the most neutral numbers,,,,PostTask_MentalModel: I think mostly the glucose and blood pressure mattered | PostTask_StrategyExample: I just make sure the highest or lowest numbers go to the most neutral numbers
counterfactual,R_7QQowZQ43kZcCj7,0.07734927809822975,0.12287754559834001,0.04552826750011025,0.5,0.511297034303885,0.66,0.95,0.5051536208815859,1.7,0.5,0.18746811766707752,0.17216459785752253,0.5,0.09239130434779,0.007608695652180003,0.2,0.1194011383321,0.1194011383321,0.4,0.08906350098345,0.06756026973871,0.1,0.022972972972955,-0.022972972972955,2.0,I think the attributes that mostly mattered were the person's BMI and blood pressure. The higher values seemed to increase the chances of a diabetes result.,"Sometimes my approach varied with the person's age. If they were younger, I would increase their age as I correlated a higher age being more risk for diabetes.",,,,"PostTask_MentalModel: I think the attributes that mostly mattered were the person's BMI and blood pressure. The higher values seemed to increase the chances of a diabetes result. | PostTask_StrategyExample: Sometimes my approach varied with the person's age. If they were younger, I would increase their age as I correlated a higher age being more risk for diabetes."
counterfactual,R_5tEkygPCjFKzz2T,0.083923373146155,0.12287754559834001,0.038954172452185,0.6,0.38576148970871504,0.49000000000000005,0.9,0.6275068966106637,2.55,0.55,0.096497194354765,-0.036133310661415,0.5,0.081521739130435,0.033695652173935,0.6,0.050111358574655,-0.030314278643945,0.75,0.13871227873004,0.02163191907847,0.15,0.0189189189189,0.0189189189189,3.0,"I think the AI used on a higher scale the level of the BP and insulin. Some times, the BMI and glucose",I put a strict watch on the ranges I had learned from the training from the previous task. The AI training really helped.,,,,"PostTask_MentalModel: I think the AI used on a higher scale the level of the BP and insulin. Some times, the BMI and glucose | PostTask_StrategyExample: I put a strict watch on the ranges I had learned from the training from the previous task. The AI training really helped."
counterfactual,R_5faag2PFpaGyI6V,0.08535400085186,0.12287754559834001,0.037523544746479995,0.4,0.6542550072483,0.31,0.85,0.40859428591109764,3.45,0.95,0.33837782690023,0.15048461146062,0.85,0.09565217391306,-0.004347826086970001,0.8,0.06238142373996001,0.03536665841784,0.7,0.13487060972186,0.09476159033440999,0.15,0.022972972972960002,-0.01756756756755,4.0,The AI appears to rely mainly on Glucose and BMI,"My approach varied depending on the starting profile: for a No Diabetes profile, I increased the influential attributes; for a Diabetes profile, I decreased them.",,,,"PostTask_MentalModel: The AI appears to rely mainly on Glucose and BMI | PostTask_StrategyExample: My approach varied depending on the starting profile: for a No Diabetes profile, I increased the influential attributes; for a Diabetes profile, I decreased them."
counterfactual,R_7dLdPi0fchuvKbu,0.091574369155971,0.12287754559834001,0.031303176442369005,0.5,0.38246911593370003,0.58,0.9,0.4804943906302297,2.1,0.3,0.07099132800545001,-0.009777248767250002,0.65,0.11521739130431,-0.054347826086899996,0.6,0.10249113255793,0.08619978553165,0.45,0.07079629109298,-0.01505507164932,0.1,0.02297297297295,-0.0013513513513499996,5.0,After the sample exercises I had an idea of what attributes needed to be at what level to trigger the diabetes warning.,I based it on what the other levels were currently set to and also on the age of the person.,,,,PostTask_MentalModel: After the sample exercises I had an idea of what attributes needed to be at what level to trigger the diabetes warning. | PostTask_StrategyExample: I based it on what the other levels were currently set to and also on the age of the person.
counterfactual,R_1ihbKBZG0EAXF8D,0.0922853252636035,0.12287754559834001,0.0305922203347365,0.55,0.47910472836859996,0.59,0.95,0.6116930841425201,2.05,0.55,0.15303519809553,0.007651759904769998,0.3,0.06847826086955,-0.01847826086955,0.55,0.10125381506231998,0.06660892518355,0.65,0.15633745434115,0.011905310480550001,0.0,0.0,0.0,6.0,"It maintained a combination of any two: high of Glucose, BP, BMI, and Insulin for diabetic. Vice versa for no diabetic","1. Mainly Glucoese, BMI, BP
2. I used to get average perception from older training 
3. I just targetted the lower ones and tried to match around the thresholds from training  ",,,,"PostTask_MentalModel: It maintained a combination of any two: high of Glucose, BP, BMI, and Insulin for diabetic. Vice versa for no diabetic | PostTask_StrategyExample: 1. Mainly Glucoese, BMI, BP
2. I used to get average perception from older training 
3. I just targetted the lower ones and tried to match around the thresholds from training"
counterfactual,R_6ltB5PoMoQ8gakx,0.09259802195872499,0.12287754559834001,0.03027952363961501,0.55,0.63273921224671,0.48,0.9,0.5128130965664821,2.6,0.8,0.22912769937093,0.07099132800547,0.35,0.06413043478256,0.02934782608696,0.9,0.22807885836845299,0.15755176111534702,0.55,0.111402219724725,0.059805984827235,0.0,0.0,0.0,7.0,"It seemed to me it focused on Glucose with BMI or Blood Pressure with Insulin. When Diabetes was the diagnosis, I would tend to see higher numbers in these areas. ",I looked at which pairs displayed higher or lower numbers and shifted the numbers to the appropriate levels compared to the previous diagnosis's I could recall. ,,,,"PostTask_MentalModel: It seemed to me it focused on Glucose with BMI or Blood Pressure with Insulin. When Diabetes was the diagnosis, I would tend to see higher numbers in these areas. | PostTask_StrategyExample: I looked at which pairs displayed higher or lower numbers and shifted the numbers to the appropriate levels compared to the previous diagnosis's I could recall."
counterfactual,R_3CPW0AmZIfESbrT,0.0940785966590575,0.12287754559834001,0.028798948939282497,0.4,0.5152088544352,0.62,0.65,0.3654880810371758,1.9,0.05,0.011902737629649999,0.011902737629649999,0.65,0.1423913043478,-0.0380434782609,0.5,0.21477769529000001,0.21477769529000001,0.7,0.146137117167745,0.051988198932355,0.0,0.0,0.0,8.0,"Insulin and blood pressure were the most important values, with BMI close behind. If their BMI was relatively high, the other two values would need to be low to avoid a diabetes verdict. If both insulin and blood pressure levels were high, they were much more likely to be at risk for diabetes. ","I tried to match up the two or more attributes I increased or decreased. For instance, lining up BMI and insulin to roughly the same level could make a substantial difference in the verdict. ",,,,"PostTask_MentalModel: Insulin and blood pressure were the most important values, with BMI close behind. If their BMI was relatively high, the other two values would need to be low to avoid a diabetes verdict. If both insulin and blood pressure levels were high, they were much more likely to be at risk for diabetes. | PostTask_StrategyExample: I tried to match up the two or more attributes I increased or decreased. For instance, lining up BMI and insulin to roughly the same level could make a substantial difference in the verdict."
counterfactual,R_7MBioYOD8gq6nT3,0.09565111355087999,0.12287754559834001,0.027226432047459996,0.2,0.20016968766148452,0.77,0.65,0.23362419229454803,1.15,0.05,0.021679986396850003,-0.021679986396850003,0.2,0.04673913043475,-0.04673913043475,0.1,0.008042563721845,-0.008042563721845,0.75,0.1169512503511895,-0.1169512503511895,0.05,0.00675675675675,-0.00675675675675,9.0,I focused more on BMI and BP. The lower those were are good indicators of overall health and less chance for diabetes.,I tried to keep DBP less than 75 and BMI less than 30 but ideally less than 25.,,,,PostTask_MentalModel: I focused more on BMI and BP. The lower those were are good indicators of overall health and less chance for diabetes. | PostTask_StrategyExample: I tried to keep DBP less than 75 and BMI less than 30 but ideally less than 25.
counterfactual,R_6dXBSsEnSWPHZg1,0.10073780189984549,0.12287754559834001,0.02213974369849451,0.4,0.31772242197691497,0.7100000000000001,0.7,0.4037027976157176,1.45,0.7,0.19086889984699001,-0.08459445672501001,0.25,0.052173913043449996,-0.052173913043449996,0.4,0.056813495009500004,0.0312422667656,0.1,0.017866114077,-0.007866114076999999,0.0,0.0,0.0,10.0,"AI rule, high glucose and BMI to diabeties. low value to no diabeties. so threshold glucose 120 BMI TO 30","How i changed, lowered the highest attribute first, one at a time, then until the prediction flipped  stopped there",,,,"PostTask_MentalModel: AI rule, high glucose and BMI to diabeties. low value to no diabeties. so threshold glucose 120 BMI TO 30 | PostTask_StrategyExample: How i changed, lowered the highest attribute first, one at a time, then until the prediction flipped  stopped there"
counterfactual,R_6P1wxXrNHroPf9i,0.101689982267545,0.12287754559834001,0.021187563330795002,0.35,0.39290818967019997,0.63,0.6,0.40130449412266805,1.85,0.15,0.02593096412175,0.02593096412175,0.15,0.017391304347850002,0.017391304347850002,1.0,0.25684649014265004,0.25684649014265004,0.45,0.0805772688958,0.0805772688958,0.1,0.01216216216215,0.01216216216215,11.0,High glucose values and High BMI values point towards diabetes,"I focused on glucose and BMI in terms of attributes, I moved the values in the direction whereby the prediction will be shifted, I stopped at the point whereby I viewed the change would have influenced the AI decision. ",,,,"PostTask_MentalModel: High glucose values and High BMI values point towards diabetes | PostTask_StrategyExample: I focused on glucose and BMI in terms of attributes, I moved the values in the direction whereby the prediction will be shifted, I stopped at the point whereby I viewed the change would have influenced the AI decision."
counterfactual,R_5cuU4NG0z68t0DW,0.10221548471967401,0.12287754559834001,0.020662060878666004,0.7,0.5100932442371,0.55,0.8,0.5881496091636225,2.25,0.65,0.149634415915665,0.060363883693264994,0.55,0.143478260869555,-0.006521739130454998,0.25,0.01649756660893,0.010104759547969999,0.8,0.200483000843015,0.099973307108785,0.0,0.0,0.0,12.0,"i think the AI used the set values of each attributes to decide if each person had diabetes or not. But i think the attributes that mattered most were the BMI, glucose and Blood Pressure. If these values were higher than the standard value, the AI would clasify it as diabetes. Higher values of glucose and BMI led to diabetes. and the range for Glucose was just  before the midway point","I focused mostly on the BMI and glucose levels because i knew that were the attributes the AI relied on more to make decisions. So I either increased or decreased this value slightly depending on the change i was trying  make.
But the age also affected some of my decisions because if the age was high, i would not reduce the BMI value by much.
I knew when i changd enough if the values were similar to those the AI would classify as diabetes",,,,"PostTask_MentalModel: i think the AI used the set values of each attributes to decide if each person had diabetes or not. But i think the attributes that mattered most were the BMI, glucose and Blood Pressure. If these values were higher than the standard value, the AI would clasify it as diabetes. Higher values of glucose and BMI led to diabetes. and the range for Glucose was just  before the midway point | PostTask_StrategyExample: I focused mostly on the BMI and glucose levels because i knew that were the attributes the AI relied on more to make decisions. So I either increased or decreased this value slightly depending on the change i was trying  make.
But the age also affected some of my decisions because if the age was high, i would not reduce the BMI value by much.
I knew when i changd enough if the values were similar to those the AI would classify as diabetes"
counterfactual,R_6dth5vhxVEBQV2p,0.106038991518744,0.12287754559834001,0.016838554079596002,0.15,0.195344777324462,0.78,0.7,0.12496578711423731,1.1,0.15,0.044635266111215,-0.044635266111215,0.0,0.0,0.0,0.55,0.08475624845340499,0.08475624845340499,0.3,0.021358668165237002,0.012470216352927,0.1,0.0445945945946,-0.0067567567568,13.0,High levels of glucose and insulin, wanted to balance the BMI,,,,PostTask_MentalModel: High levels of glucose and insulin | PostTask_StrategyExample: wanted to balance the BMI
counterfactual,R_7gJ0bylGgi6iHe1,0.10748976029538351,0.12287754559834001,0.015387785302956503,0.4,0.34494698275085,0.66,0.65,0.3323359056412564,1.7,0.35,0.08671994558754001,-0.08671994558754001,0.7,0.141304347826045,-0.141304347826045,0.0,0.0,0.0,0.25,0.04530106771565,-0.04530106771565,0.4,0.071621621621565,-0.071621621621565,14.0,"Glucose levels and blood pressure mattered quite a bit. You also have to take into account their age, but you cannot change someone's age.","You cannot really change a person's age, as you cannot go back in time. So that is not really an option. I tried to focus on them working on getting their blood sugar down and BMI. So they can keep a steadier and healthy blood pressure.",,,,"PostTask_MentalModel: Glucose levels and blood pressure mattered quite a bit. You also have to take into account their age, but you cannot change someone's age. | PostTask_StrategyExample: You cannot really change a person's age, as you cannot go back in time. So that is not really an option. I tried to focus on them working on getting their blood sugar down and BMI. So they can keep a steadier and healthy blood pressure."
