participant,direction-qualified cohort (0/1),xai,alpha=0 CV selection NLL,alpha=1 CV selection NLL,delta NLL (alpha=1 - alpha=0; positive favors alpha=0),alpha=0 CV selection F1,alpha=1 CV selection F1,better endpoint
R_5CNiW73tAkn7Lk5,1,none,1.3212709155075015,1.7272200841139465,0.4059491686064449,0.6006478544667105,0.538970839577854,alpha=0
R_5F38AMuOCY994Y9,1,none,2.523364656450461,3.0275216965064105,0.5041570400559494,0.42777903958450353,0.40176559330116846,alpha=0
R_5F38MGbZJklp6TP,1,attribution,2.1690844516410075,2.381210768346065,0.21212631670505733,0.3298837976790233,0.30174844881899926,alpha=0
R_5FwCR03V97gle4L,1,attribution,2.3640807180858525,3.0789561778600762,0.7148754597742237,0.48262122801314344,0.3702573335020171,alpha=0
R_5L0xQQar3o8Bvr3,0,counterfactual,2.551717999169731,1.3579731917077138,-1.1937448074620172,0.28051785444014327,0.48662592030647833,alpha=1
R_5cuU4NG0z68t0DW,1,counterfactual,1.2846822867391015,1.7983050191126477,0.5136227323735463,0.6510551219131311,0.5763147040298862,alpha=0
R_60Vourt3Kluat5u,1,attribution,2.3700309766780037,2.908043659333546,0.5380126826555425,0.46975356588166284,0.42464461487976585,alpha=0
R_61hCu6g2tcWoJo7,1,attribution,1.5024029034779267,2.066659028925684,0.5642561254477574,0.5199165267561509,0.4771869392682941,alpha=0
R_6DD4Hjc7DAhjrhU,1,attribution,0.9257050481626333,1.3808276203449559,0.45512257218232255,0.6854948185344465,0.6797232950945853,alpha=0
R_6I5GvkY1dba6Sm6,1,none,3.1535675461435475,3.0276930387257646,-0.12587450741778294,0.632988253544042,0.6825294534409752,alpha=1
R_6KDvslaxG4W04I9,1,counterfactual,2.5256181418787067,0.7527996763145135,-1.7728184655641932,0.3752513353490543,0.690559942806175,alpha=1
R_6P1wxXrNHroPf9i,0,counterfactual,2.0884724298961936,1.6012472835186398,-0.4872251463775539,0.40850287375671446,0.54445778132512,alpha=1
R_6dXBSsEnSWPHZg1,1,counterfactual,1.7736428353563631,1.7846911611805258,0.011048325824162708,0.42688821661986226,0.3626842076622968,alpha=0
R_6ltB5PoMoQ8gakx,1,counterfactual,1.1389483371831621,1.4234024400112872,0.2844541028281251,0.7023826164627411,0.6893466512197207,alpha=0
R_771uyV9h8uinmh3,1,attribution,0.992798831014506,2.1419645109854364,1.1491656799709304,0.43869653490265603,0.12136808298726862,alpha=0
R_7DtIw0Gr58M4CAa,0,counterfactual,2.2799380650658647,1.721639796081727,-0.5582982689841378,0.5272283433927831,0.649736746813581,alpha=1
R_7IXNpixLXSjItSq,0,none,1.9916717972889857,1.8733678503957805,-0.11830394689320523,0.2387096724513385,0.24992420961028103,alpha=1
R_7L78tZJ3cQDgpFH,0,counterfactual,2.125191161817333,1.20080624655261,-0.924384915264723,0.6288798422877045,0.7529212930248975,alpha=1
R_7MBioYOD8gq6nT3,0,counterfactual,3.344585947538873,1.8536676039284743,-1.4909183436103988,0.2281898638411371,0.23739775047242367,alpha=1
R_7PsMTUjq8Wa1btt,1,counterfactual,1.7967466718355714,2.150390731830045,0.35364405999447346,0.5902248106740758,0.5217827405012879,alpha=0
R_7QQowZQ43kZcCj7,1,counterfactual,1.549359169195489,1.6850275149475358,0.13566834575204667,0.4959949745213116,0.45680475649551955,alpha=0
R_7Xi0pALCUOc3Fh1,1,attribution,3.4100964352938945,2.200562159862219,-1.2095342754316754,0.19714743054979172,0.11586399559545801,alpha=1
R_7arfHhy57BRFG9z,0,none,2.083602164816861,2.3729579387852815,0.2893557739684205,0.1929737911782816,0.09755183527020647,alpha=0
R_7dLdPi0fchuvKbu,1,counterfactual,1.692451250546266,2.2745521261328037,0.5821008755865376,0.5332005291143095,0.49880667064414413,alpha=0
R_7gJ0bylGgi6iHe1,0,counterfactual,2.6484037535700744,2.039178868384977,-0.6092248851850974,0.32023684792836754,0.42370786790814685,alpha=1
R_7ojrp9raD1YDwJj,0,none,2.169393037455633,2.785472335817207,0.6160792983615737,0.33370373963027244,0.21834412130945585,alpha=0
R_7xWlSJ5Zdqog9gt,1,none,1.218883796557014,1.341776155340579,0.12289235878356486,0.7193965991962695,0.785680811451257,alpha=0
